created_at,author,cleaned_tweet
2022-10-27 13:40:49+00:00,Soudayou_,tadi sebelum azan maghrib langit bagus banget awan kumpul gede deket gunung sebagian sisinya warna orange pokoknya bagus banget awan makoto shinkai
2022-10-27 13:40:44+00:00,mediaindonesia,adapun erupsi sebelum itu terjadi tiga tahun lalu pada 31 juli 2019 kala itu gunung kerinci melontarkan kolom abu berwarna kelabu setinggi lebih kurang 800 meter yang mengarah ke timur laut dan timur
2022-10-27 13:40:42+00:00,PFTee,dari daud terpujilah tuhan gunung batuku yang mengajar tanganku untuk bertempur dan jari jariku untuk berperang yang menjadi tempat perlindunganku dan kubu pertahananku kota bentengku dan penyelamatku perisaiku dan tempat aku berlindung yang menundukkan bangsa bangsa
2022-10-27 13:40:31+00:00,wany_rl,jangan meletakkan harapan setinggi gunung jika tidak mahu kecewa sedalam lautan
2022-10-27 13:40:24+00:00,24its2008,wkwkwk canda mnet ayok semangat lockeydeul kesel boleh tapi vote harus tetep jalan walaupun ngevotenya harus pake car
2022-10-27 13:40:17+00:00,jisuwp,gak gitu kak mang ada yang jualan gunung
2022-10-27 13:39:55+00:00,blcxkk_swanxx,malam gunung kopi sweater hujan sepatu film sabtu bintang romance hp
2022-10-27 13:39:42+00:00,Ternoda_,dulu pas masi kuliah aktif naik gunung plg tnggi rinjani plg banyak merbabu 5x
2022-10-27 13:39:40+00:00,Riayaaa_,ingin hati memegang gunung tapi apa daya milik tetangga
2022-10-27 13:39:29+00:00,s_ghiffary,7 mantan kapolri temui listyo sigit turun gunung bahas nasib polri mohon pak menurut kami sej
2022-10-27 13:39:26+00:00,Dea_DFA,7 mantan kapolri temui listyo sigit turun gunung bahas nasib polri
2022-10-27 13:38:59+00:00,jaya1perkasa,7 mantan kapolri temui listyo sigit turun gunung bahas nasib polri
2022-10-27 13:38:51+00:00,pratamadhityar,7 mantan kapolri temui listyo sigit turun gunung bahas nasib polri
2022-10-27 13:38:42+00:00,bloomiesberries,permisi ka mau tanya kenapa penduduk di sekitar gunung merapi yg masih aktif tidak membuat ruang bawah tanah
2022-10-27 13:38:25+00:00,DSinkh,kuncinya ada di puncak gunung merapi
2022-10-27 13:38:22+00:00,yogikwsuper,belom belom udah mandang fisik kenapa gak mandang gunung aja sih neng wkwk
2022-10-27 13:38:13+00:00,Bambang77197468,turun gunung
2022-10-27 13:38:12+00:00,farisredzuan10,tertinggal kejap jam dgn cincin dalam toilet dekat masjid qarnul manazil utk niat ihram pergi toilet semula dah xde tak sempat lagi nk hiking gunung nuang gua hira bersama oh galaxy watch 4 ku cincin hitam favourite ku
