created_at,author,cleaned_tweet
2022-10-21 14:14:37+00:00,bucinjumil13,iya pantai disana vibenya kaya bali jadi bagusan liat pas sunset itu deket rumah gue jalan kaki bisa wkwkwkk
2022-10-21 14:14:20+00:00,thallyyyyyyy,hal hal kecil main di pantai nemu kunang kunang makan permen buah film ini juga nunjukkin betapa manusia yg udah terbiasa sama tragedi di sekeliling mereka bisa jadi asimpatik sama orang lain si bibi si petani dokter orang di bank petugas kebersihan
2022-10-21 14:13:51+00:00,pajiwibu,di pantai
2022-10-21 14:13:35+00:00,wulannjypeony,ayokkk aja mah gue gass ngengg sebelahnya tuh pantai
2022-10-21 14:13:27+00:00,saintzure,gives me classic vintage cocok buat didengerin di pantai yg sepi pas menjelang sunset
2022-10-21 14:12:57+00:00,hwabeyi,ini ceritanyanya pantai date yaa
2022-10-21 14:12:29+00:00,InfoMadura3,bergantung pada kerajaan kerajaan islam di pantai utara jawa seperti demak gresik dan surabaya
2022-10-21 14:12:18+00:00,cirasstt,ootd dress putih cocok bgt buat ke pantai nih yang lainnya ga kalah cakeup
2022-10-21 14:12:17+00:00,hikuncards,wts jay holo ody jay otot pantai 90k dom jkt
2022-10-21 14:11:46+00:00,Truncvg,sepenggal kisah sedih petani kawasan pantai trisik kulon progo
2022-10-21 14:11:30+00:00,GynaAnis,iya neg emang bener sampah saset mayora itu benar benar mencemari lingkungan akhirnya kita yang kena imbasnya
2022-10-21 14:11:28+00:00,captainkhj_,uaa mau ke pantai jugaa
2022-10-21 14:11:23+00:00,swrp_soojung,cont bagaimana rasanya rindu laut gadis gila dengan segala ide asal lupakah dia bahwa mereka berada tepat di tengah ibukota yang notabene jauh dari laut bahkan pantai yang katanya terdekat gyeongpo berjarak dua setengah jam dari lokasi mereka cont
2022-10-21 14:11:15+00:00,Miftahulk22,sepenggal kisah sedih petani kawasan pantai trisik kulon progo
2022-10-21 14:10:19+00:00,Solar_Sunxx,10 apalagi scene pantai nder
2022-10-21 14:10:18+00:00,rebeccaarmst,gafok sama air lautnya kok butek kayak air sungai barito tapi gpp yg penting becky dah happy bisa ke pantai liat laut dan paling penting dah berbaikan sm pfreen nya wes jgn ada pundung lg ada masalah segera bicarakan dan perbaiki beckysangels srchafreen
2022-10-21 14:10:10+00:00,mxmxdxdhxm,dsai tinggalkan kerusi selesa di pd wan azizah tinggalkan kerusi selesa di permatang pauh nurul izzah juga tinggalkan ker
2022-10-21 14:10:06+00:00,syifarrptr,pengen ke pantai
2022-10-21 14:09:39+00:00,NTX24,obyek wisata kecamatan serasan wisata pantai pantai sisi pasir sepandok teluk siti dewi teluk aur resam tarum jodoh sempadi bungim
2022-10-21 14:08:18+00:00,dewaketa,pantai njing tu dmn ya
2022-10-21 14:08:17+00:00,rredamanccy,me j ke gunung kalau ga ke pantai ke pantai sore2 enak sambil liat sunset
2022-10-21 14:08:12+00:00,mnzlrr,baru mau ngeluh malang hujan terus jd khawatir kalo mau ke pantai sendirian terus tiba tiba inget tweetnya hafidz sikon hujan terus2an tuh cocok buat sekalian minta biar diperdalam sabarnya
2022-10-21 14:07:58+00:00,fazruldali_,satu hari nnti nk beli rumah tepi pantai ah lepastu seaview layan mat
2022-10-21 14:07:36+00:00,qorihasnan,penikmat pantai garut udah mah harga penginapan muraahh ditambah pantai yg sepi gk terlalu banyak pengunjung bersih dan asri
2022-10-21 14:07:35+00:00,NamiaEman,dsai tinggalkan kerusi selesa di pd utk bertanding di tambun wan azizah pernah tinggalkan kerusi selesa di permatang p
2022-10-21 14:06:31+00:00,Tanseriat,yaudah ayo ajakan penuh semangat itu dibarengi dengan kuasanya yang terulur ke arah sang tuan niat hati ingin mengajak sang tuan agar segera merasakan air laut pantai memang ramai banyak orang orang yang jua memilih bermain air sepertinya
2022-10-21 14:06:28+00:00,nis4a4,banyak duitttt setidaknya gue bisa nangis nangis meraung di bali di tepi pantai atau nangis di bar atau nangis di yatch
2022-10-21 14:06:14+00:00,Samnusa_,akhirnya ganti pemandangan dari pinggir pantai ke kumpulan hutan beton
2022-10-21 14:06:04+00:00,rantiswari,memaksimalkan jadi anak pesisir kalo mau curhat langsung cus ke pantai
2022-10-21 14:05:47+00:00,Anwrfdi,sepenggal kisah sedih petani kawasan pantai trisik kulon progo
2022-10-21 14:05:41+00:00,jahedimples,saat pertama ku terjebak gelombang dirimu belaian ombak tepi pantai menembus kalbuku indahnya garis cakrawala dah lupa lagi w
2022-10-21 14:05:08+00:00,kiloffa,siapalah yang nak bersihkan pantai pd lagi lepas ni
2022-10-21 14:04:48+00:00,bigmouth_syaa,pantai dongg
2022-10-21 14:04:42+00:00,suryojdb,bisa ejakulasi dini gue klu liat ke bawah kyk klu lagi motret orang pinggir tebing pantai timang mlh suka nyut nyutan
2022-10-21 14:04:35+00:00,Ludhi_N,kisah perjalananku hari ini semoga lancar amp kita bisa bertemu 19 45 malam ini yaa di pantai mertasari sanur bali see yo
2022-10-21 14:04:34+00:00,RidoRtye,dress midi korean vintage floral hijab friendly kondangan piknik pantai
2022-10-21 14:03:58+00:00,yoona__lism,main di pantai karena pantai selalu indah
2022-10-21 14:03:48+00:00,bucinjumil13,gk usah nanti kita main ke dcemara sama pantai kelapa
2022-10-21 14:03:46+00:00,toxicmeandyou,tambun ada pantai tak
2022-10-21 14:03:35+00:00,mommyChili,museum date pantai date street date aku kapan dead
2022-10-21 14:03:31+00:00,ShellaAmallia,gak pernah bisa tidur kalo ngecamp di pantai suara ombaknya serem lautnya gelap takut bangun2 di dunia lain pulau terpencil
2022-10-21 14:03:17+00:00,gaqpakenama,biar mudah dicari jadwal dan harga damri ke pantai malang selatan damripantaimalang
2022-10-21 14:02:59+00:00,svbinchoi,ini di pantai klayar jatim
2022-10-21 14:02:56+00:00,amrakhmalll,pantai teluk kemang port dickson
