created_at,cleaned_tweet
2022-10-17 13:30:12+00:00,gabrut
2022-10-14 18:41:55+00:00,kangen kampung halaman oyyy
2022-10-14 08:37:34+00:00,sama sama kak kalo untuk cari info makanan halal bisa cek ke halal na
2022-10-09 12:41:15+00:00,yang sabar nak u don t need to be down again hayuk semangat semangat kan udah dikasih mam sama ibunya sendiri yok yok
2022-10-09 12:28:53+00:00,inpo drivernya nak darimana bisa di report langsung
2022-10-09 11:07:58+00:00,kerasa banget
2022-10-08 20:00:34+00:00,alhamdulillah
2022-10-08 15:49:32+00:00,anggap saja sedang malmingan
2022-10-07 02:52:35+00:00,bro can t thinking about simple thing cuz to much thinking complicated shit
2022-10-06 17:01:17+00:00,gimana mau ngajak doi main ke indo kemaren ae dia nanya tentang tragedi kan uruhan sementara disana 180 derajat beda isilopny beda jauh di wakanda
2022-10-04 05:15:27+00:00,info uts mas
2022-10-04 03:57:14+00:00,start your octrouble with hell week
2022-10-02 15:43:30+00:00,baru tau kalo kulit kepala itu perlu di double cleansing sama kayak muka from this to
2022-10-02 13:51:44+00:00,lagi salto ni bang
2022-10-02 12:52:54+00:00,sudah dapat boostingan buat oktober maju lo atk otk ptk mtk kwu
2022-09-30 10:29:08+00:00,woyy malu maluin rizky anjgg
2022-09-29 09:26:02+00:00,the moment before we know each other
2022-09-26 10:10:52+00:00,mana cheers
2022-09-25 05:16:12+00:00,man was almost cry for lgd after watching true sight ti10 i hope lgd could win it next ti but let s go for indopride first
2022-09-24 23:23:48+00:00,just a cup of americano it s already destroyed my stomach
2022-09-23 04:58:40+00:00,anime weathering with you
2022-09-22 10:40:10+00:00,failure is not an option work hard pray hard play hard
2022-09-21 17:12:14+00:00,mommy said sudah jangan dipikiram dulu haruka tu begawi dulu bujur bujur ngakak haruka
2022-09-19 03:07:35+00:00,me before knowing you muted line me after knowing you waiting for line s notification
2022-09-18 12:00:57+00:00,revisi anjennngg
2022-09-17 15:03:46+00:00,mana saya tau saya kan nguli
2022-09-17 11:23:09+00:00,jadi mleyot gitu ya
2022-09-17 11:20:38+00:00,bukan gitu maksudnyaa maksud saya apa kabar saya yg ldr
2022-09-17 11:18:07+00:00,ngogheyy anjayy sdh bisi jua
2022-09-17 11:10:14+00:00,wes klakon seng durung yo adoh
2022-09-17 11:08:38+00:00,yo nda mampu aku duduk spek idamananmu
2022-09-17 10:58:28+00:00,yaa semangat ya aku jga menyibukkan diri kok disini nti kita senang senangnya barengan lagi aja
