created_at,cleaned_tweet
2022-10-19 09:45:06+00:00,bakso kontol bakso kontol
2022-08-03 10:46:18+00:00,budget tipis style teletabies
2022-05-03 11:51:29+00:00,not my best year
2022-05-01 16:25:04+00:00,end
2022-05-01 16:24:30+00:00,without u
2022-04-08 08:25:34+00:00,sick feeling
2022-03-29 15:48:32+00:00,kontol
2021-12-16 17:23:20+00:00,this photo history evan yu
2021-11-23 17:52:55+00:00,tb
2021-11-23 17:52:49+00:00,tl
2021-11-23 17:52:39+00:00,tbl
2021-10-18 02:38:03+00:00,believe
2021-08-25 02:26:56+00:00,berdosa pun membawa agama
2021-08-21 15:39:14+00:00,thank you
2021-08-12 17:27:05+00:00,not home again
2021-08-11 17:51:23+00:00,stfu baby
2021-08-11 02:57:06+00:00,soon i will understand or end
2021-08-10 07:12:20+00:00,josh and jalen thatsgame
2021-08-03 12:28:27+00:00,back yoo
2021-07-31 05:55:49+00:00,i got it
2021-07-30 06:50:07+00:00,duo de backk
2021-07-30 06:49:03+00:00,lets goooo
2021-07-30 02:22:58+00:00,jalen green has been putting on a show for years now expect that to continue in houston
2021-07-30 02:22:11+00:00,lltc
2021-07-30 02:20:44+00:00,jg4 second pick
2021-07-29 01:49:41+00:00,hmmmmm
2021-07-26 16:42:39+00:00,yall gotta make sure see s this video insane stuff from the live show killer dababy miami rollingloud
2021-07-26 16:39:32+00:00,x hair
2021-07-21 06:15:37+00:00,my man m v p greatness next up championship mambamentality
2021-07-19 11:31:13+00:00,so fucking hate
2021-07-18 04:29:30+00:00,jrue for kendall
2021-07-18 04:27:26+00:00,anj
2021-07-18 04:25:02+00:00,jrue with the steal
2021-07-17 17:12:46+00:00,bu abas
2021-07-16 14:38:59+00:00,chakzzzz
2021-07-14 12:50:20+00:00,gimanaaa
2021-07-14 12:49:57+00:00,apa jal
2021-07-13 13:26:45+00:00,ngilangin gengsi cari cowok bermobil taunya pas jalan jilatin eskrim wkwk
2021-07-11 14:09:50+00:00,nigeria
2021-07-09 15:51:45+00:00,jal nek nguli tetep gengsi to de wkwk
2021-07-05 15:20:48+00:00,tak dadi banser ae lah
2021-06-30 01:31:47+00:00,kui tok
2021-06-29 17:56:37+00:00,goblok tenan og
2021-06-29 16:56:01+00:00,5jt mirror like original ndasmu
2021-06-21 05:50:46+00:00,d
2021-06-21 05:48:14+00:00,love u
2021-06-08 03:58:39+00:00,manusia ngentod
2021-06-08 03:55:31+00:00,chet holmgren is officially a slam all american stay tuned all week for the rest of the crew
2021-04-24 08:23:02+00:00,if you gonna post something about kd s top 5 play the whole clip instead of cutting off to suggest he trying to throw r
2021-04-24 08:17:07+00:00,fly high t
2021-04-24 08:15:04+00:00,gone way too soon man
2021-03-16 04:05:10+00:00,air susu
2021-03-11 02:55:27+00:00,we are here now so be here now jalen green covers slam 231 the future issue
2021-02-14 17:44:13+00:00,hahayyyy
2021-01-28 13:17:44+00:00,oleg
2021-01-28 13:16:49+00:00,marai muntab
2020-11-20 16:26:27+00:00,cawiki
2020-10-17 03:48:55+00:00,kandani tak kon skin sek nduwur kok
2020-10-01 17:28:14+00:00,tuke lah cong
2020-09-18 16:46:53+00:00,geprek
2020-09-16 01:37:08+00:00,block dunk
2020-09-15 04:29:56+00:00,bener to
2020-09-15 01:25:36+00:00,rasanya babi banget
2020-09-11 15:32:56+00:00,rapper rapper pada kenapa sih haha ytta
2020-08-26 01:44:46+00:00,ha pie meneh
2020-08-24 14:38:48+00:00,ha ndase sek di kampleng
2020-08-20 02:39:35+00:00,hoo
2020-08-19 16:29:00+00:00,maju kabeh sak perumahan lossss
2020-08-11 15:38:09+00:00,aneh sek ngetik
2020-08-08 17:20:55+00:00,apek de bul
2020-08-08 17:20:08+00:00,yang punya pacarnya kemetak ndase pacare
2020-07-27 01:01:51+00:00,ha ngeri banget wkwk
2020-07-20 02:53:07+00:00,cah basket fames ki
2020-07-17 02:07:19+00:00,lonte og
2020-07-15 17:31:52+00:00,kriting dong
2020-07-14 14:28:40+00:00,tw for ipon ihir
2020-07-14 07:27:52+00:00,e ne diganti a jadi celeng
2020-07-14 07:27:27+00:00,hiyaaa
2020-07-05 04:24:31+00:00,lek payu ya
2020-06-30 04:57:05+00:00,cocote
2020-06-29 17:06:32+00:00,17 taun sek neng
2020-06-29 17:05:24+00:00,ngopo to ndes
2020-06-29 17:03:51+00:00,life is chill
2020-06-18 17:29:23+00:00,sopo jal
2020-06-18 17:23:18+00:00,kandani og
2020-06-18 16:32:07+00:00,yeyeh
2020-06-18 15:23:14+00:00,ipon 6
2020-06-15 04:21:48+00:00,mbuh ki
2020-06-15 03:24:24+00:00,ra indie semaput
2020-06-15 03:23:39+00:00,manusia kucing
2020-06-15 03:23:19+00:00,cocoteeee
2020-06-15 03:22:48+00:00,jadi pengen etri
2020-06-14 16:48:50+00:00,hoo ya ngopo
2020-06-14 15:26:05+00:00,padahal hurung tau tuku
2020-06-14 15:10:59+00:00,bapak kas
2020-06-13 04:16:09+00:00,yo apek
2020-06-13 04:15:43+00:00,aligggg
2020-06-01 16:49:42+00:00,sasuke
2020-05-30 15:43:17+00:00,karo slomot situk cek
2020-05-30 15:02:16+00:00,pie ki bro
