created_at,author,cleaned_tweet
2022-10-18 15:02:52+00:00,Jobriik,minggu wingi kebetheng udan no ungaran kang area gunung kembar sak lore pasar
2022-10-18 15:02:45+00:00,hantuuu16_,ibu nonton konser ninggalin 2 hari bilangnya ya ngapain pergi jadi ibu mah emg gt harusnya gausah konser2 se
2022-10-18 15:02:41+00:00,hongraon,ibu nonton konser ninggalin 2 hari bilangnya ya ngapain pergi jadi ibu mah emg gt harusnya gausah konser2 se
2022-10-18 15:01:48+00:00,saIetsucre,yaallah anak pecinta alam bgt mukanya yg tiap liburan perginya naik gunung sm temen2 nya buat nancepin bendera himpunan
2022-10-18 15:01:47+00:00,basicwint,cukup sering sebelum tugas makin menumpuk hampir kayak gunung
2022-10-18 15:01:36+00:00,peraraar,ibu nonton konser ninggalin 2 hari bilangnya ya ngapain pergi jadi ibu mah emg gt harusnya gausah konser2 se
2022-10-18 15:01:33+00:00,dwi_que,ego nya adnan setinggi gunung everest kali ya capek banget gue ah
2022-10-18 15:00:36+00:00,Bangwas3,baru segitu aja sudah kebakaran jenggot anda tidak melihat dan tidak mendengar ya ketika junjungan anda turun gunung membuat gempar dunia maya salamwaras
2022-10-18 15:00:27+00:00,Dennys_NYSH,tuhan tidak bertanya kamu pernah mendaki gunung mana saja tuhan hanya bertanya apakah kamu menjaga sholat mu saat
2022-10-18 15:00:18+00:00,bucinfanaa,ibu nonton konser ninggalin 2 hari bilangnya ya ngapain pergi jadi ibu mah emg gt harusnya gausah konser2 se
2022-10-18 15:00:14+00:00,MuhammadAnep,situasi di gunung kinabalu sumber group wasep
2022-10-18 14:59:27+00:00,climax_ao,takut mau hiking ke gunung atau gak punya pralatan kami sediakan wisata dan sewa peralatannya jd jgn ragu2 lg langsung aja hub cp kami
2022-10-18 14:59:13+00:00,dowoonitb,ibu nonton konser ninggalin 2 hari bilangnya ya ngapain pergi jadi ibu mah emg gt harusnya gausah konser2 se
2022-10-18 14:59:12+00:00,bungobang,setiap mau naik gunung ada jadwal interview sebenernya apa ada keterkaitan antara takdir kerjaan gue sama gunung gue bingung mau teriak
2022-10-18 14:59:08+00:00,Hidayat65656659,ya saya ada diwilayah sebelah barat gunung bromo kondisi aman bersyukur ya jeng
2022-10-18 14:58:56+00:00,Kendarinformasi,seorang pria berinisial ak 31 dibusur oleh orang tidak dikenal otk di jalan poros gunung jati kelurahan gunung jati kecamatan kendari kota kendari sulawesi tenggara sultra selasa 18 10 2022 malam
2022-10-18 14:57:38+00:00,Jaja_manja,do we really have to show to people how rich we are harta bergunung gunung kau tuh bukan boleh bawa masuk kubur pun chill sudah
2022-10-18 14:57:38+00:00,akualpinn,naik gunung nribun
2022-10-18 14:56:16+00:00,lalaalfika,ibu nonton konser ninggalin 2 hari bilangnya ya ngapain pergi jadi ibu mah emg gt harusnya gausah konser2 se
2022-10-18 14:54:40+00:00,YULIAAN08157197,finally ketemu dipeluk dikekep nunggu ginian aja kudu lewati gunung lembah bukit jurang astagaaa ikat
2022-10-18 14:54:32+00:00,its_mande,finally ketemu dipeluk dikekep nunggu ginian aja kudu lewati gunung lembah bukit jurang astagaaa ikat
2022-10-18 14:54:10+00:00,CitraaaLA,lebih suka pantai atau gunung pegunungan aku sukaaaa
2022-10-18 14:54:06+00:00,shabrina_adliah,finally ketemu dipeluk dikekep nunggu ginian aja kudu lewati gunung lembah bukit jurang astagaaa ikat
2022-10-18 14:53:47+00:00,IntanAd84689774,finally ketemu dipeluk dikekep nunggu ginian aja kudu lewati gunung lembah bukit jurang astagaaa ikat
2022-10-18 14:53:40+00:00,kelsycamelia,waktu kelsy chan masih kecil dia pernah menggambar matahari di antara dua gunung bot
2022-10-18 14:53:34+00:00,tazscorpiogirls,finally ketemu dipeluk dikekep nunggu ginian aja kudu lewati gunung lembah bukit jurang astagaaa ikat
2022-10-18 14:53:29+00:00,AbdulRa84792448,sobung pangeran angeng allah subhanallah terasa di pondok kyai kami dari jakarta pemandian almarhum kh dzofir djazuli alhamdulillah kyai kami ada group wa lintas alumni kamar sunan gunung jati 17 dari ketua kamar sampai anggota kamar
2022-10-18 14:53:13+00:00,vi_eviee,finally ketemu dipeluk dikekep nunggu ginian aja kudu lewati gunung lembah bukit jurang astagaaa ikatancinta ikatancintaep917
2022-10-18 14:52:58+00:00,Oshru_,aku rela melakukan apapun seperti pargoy depan sehun cosplay anak ayam goyang dumang depan warga mendaki gu
2022-10-18 14:52:43+00:00,fadlunrahman,1 taman nasional baluran 2 taman nasional gunung leuser 3 taman nasional alas purwo 4 taman nasional bromo tengger semeru 5 taman nasional komodo responsiblegetaway
2022-10-18 14:52:19+00:00,yanie9075,kita saksi kejam nya aldebaran sampe bucin akut nya aldebaran ya aunty kita semua saling kuat lewatin lembah gunung huru hara masyaallah luar biasa cinta untuk ic aladin
2022-10-18 14:51:44+00:00,MadamGanyu,siapa yang ninggalin hpnya di gunung sindur t t
2022-10-18 14:51:22+00:00,penikmat_micinn,gunung gajah kulon progo
2022-10-18 14:51:11+00:00,putrianied,ibu nonton konser ninggalin 2 hari bilangnya ya ngapain pergi jadi ibu mah emg gt harusnya gausah konser2 se
2022-10-18 14:51:03+00:00,sempaqteles,gw naik gunung mentok bau kentut biasanya malah bau tembakau wangi bgst haha
2022-10-18 14:49:23+00:00,reallala12,aku rela mendaki gunung lewati lembah berjalan di atas beling bertemu si buta dari gua hantu mengalahkan
2022-10-18 14:49:16+00:00,Almukaram123,reunian koplak ini indra kan bukan aku heru ini sri oo iya sriyani hehe kalau yg itu baru indra yg ini kawan k
2022-10-18 14:48:24+00:00,lrcse,ibu nonton konser ninggalin 2 hari bilangnya ya ngapain pergi jadi ibu mah emg gt harusnya gausah konser2 se
