,created_at,author,cleaned_tweet,category
0,2022-10-15 16:30:08+00:00,RFebriono,knp org naik gunung simple mereka jenuh berlebih energi kelebihan materi mencari penglaman beberapa berebut gelar sang penakluk menaklukan titik ancaman teinggi yg dilakukan manusia lain who knows cuman diri mereka sendiri yg bisa merasakan puas amp bangga dari sisi lain,gunung
1,2022-10-15 16:29:34+00:00,ivanasilo1,gua krn tinggal di bogor tiap pagi selalu lihat gunung salak ngebul ga tuh gunung,gunung
2,2022-10-15 16:26:43+00:00,andrikunn,anjir enak banget ya sebulan sekali bisa naik gunung,gunung
3,2022-10-15 16:25:41+00:00,iniahmed_,abi ge sok bingung om tarik teuing di gunung mah haha,gunung
4,2022-10-15 16:25:02+00:00,cabindimasanya,banda neira punya segudang cerita termasuk penginapan satu ini namanya cilu bintang dekat dg fo belgica dan fo nassa,gunung
5,2022-10-15 16:25:02+00:00,CelanaMalam,apekeheinya jem highway nak ke meru terpaksa dive to gunung lang tapi semua jem dah bukak waze semua meghohhh meri,gunung
6,2022-10-15 16:23:33+00:00,vvargalokal,banda neira punya segudang cerita termasuk penginapan satu ini namanya cilu bintang dekat dg fo belgica dan fo nassa,gunung
7,2022-10-15 16:23:22+00:00,AditMKM,perdebatan ini terjadi karena belum turun gunung,gunung
8,2022-10-15 16:23:19+00:00,iniahmed_,haha nyaho tarik di gunung mah bingung nyalurkeun om wkwk,gunung
9,2022-10-15 16:22:24+00:00,pluviophel,ga inget periplus gunung agung,gunung
10,2022-10-15 16:22:22+00:00,FANITVCHANNEL1,sudah hadir di kolam renang lawai fantasi gunung medan dalam rangka belajar alam gakfolowporno cebongkelautaja aniesbaswedanforpresiden,gunung
11,2022-10-15 16:22:10+00:00,aqilahfauzii,dah dua tiga hari bersweater dalam rumah gunung jerai pun berkabus estetik betulll,gunung
12,2022-10-15 16:21:16+00:00,Pakwaaaaaaann,naik gunung terus bikin caption ai sebuah proses yg tidak mudah untk mencapai puncaknya,gunung
13,2022-10-15 16:20:53+00:00,arigaanas,mimpi itu berubah ubah sih ya ga pernah kepikiran buat baik gunung tiba tiba sekarang kepengen carstensz padahal karena diracunin tp kalo everest skip dl deh apa lg abis liat video org glinding dr atas,gunung
14,2022-10-15 16:20:08+00:00,agnestasya53,jeffbarcode au berawal dari jeff yang diam diam menyukai adik sepupu temannya sendiri gue rela mendaki gunung melewati,gunung
15,2022-10-15 16:19:39+00:00,keinara777,aku sudah jogging dua hari ini siap mendaki mau jadi anak senja dan gunung,gunung
16,2022-10-15 16:19:10+00:00,ypainie,ii ajun kalo lagi naik gunung dan kala kalo lagi ditinggal,gunung
17,2022-10-15 16:18:43+00:00,ferascorp,beban pak kapolri sangat berat seumur2 baru lihat ada jendral polisi aktif ditangkap ibarat gunung es i,gunung
18,2022-10-15 16:18:12+00:00,yatim_doang,gunung sari,gunung
19,2022-10-15 16:17:58+00:00,sharifahaminur,banyak betul makanan viral kat sini orang ipoh moh kita ready to eat foods amp pelbagai jenis desses sedap sedap di sist,gunung
20,2022-10-15 16:17:44+00:00,AndrasyahdewaR2,om ameng kadieu ka garut abi ieu caket a urang ngaliwet bari canda tawa di gunung haha,gunung
21,2022-10-15 16:17:27+00:00,Alis_tora,irjen teddy hanya pucuk gunung es beranikah polri bongkar,gunung
22,2022-10-15 16:17:02+00:00,Widiatis279,saking mati gaya oposisi di jaman jokowi rame rame merubah diri adi haters ada kakek yang tetiba merasa perlu pamer ijazah,gunung
23,2022-10-15 16:16:31+00:00,ikiule,angkringan d gunung dueket dari rumah tapi baru maen ke sini tempatnya oke anginnya yg was wus kudu pake jaket sih kalo aku dah jompo menunya standar angkringan aja murmer juga lokasi perum btu makandimalang,gunung
24,2022-10-15 16:16:28+00:00,sinurayajr,banda neira punya segudang cerita termasuk penginapan satu ini namanya cilu bintang dekat dg fo belgica dan fo nassa,gunung
25,2022-10-15 16:15:23+00:00,vvvvpong,banda neira punya segudang cerita termasuk penginapan satu ini namanya cilu bintang dekat dg fo belgica dan fo nassa,gunung
26,2022-10-15 16:14:53+00:00,sarjito_joko,gunung gede,gunung
27,2022-10-15 16:14:36+00:00,_RanMouri,cepat sepei angin menyerbu sepei api tenang sepei hutan diam sepei gunung strategi furinkazan,gunung
28,2022-10-15 16:14:01+00:00,winterbearxi,buset abis perform di panggung segede gunung lu masih secakep ini,gunung
29,2022-10-15 16:14:00+00:00,arigaanas,tapi sampe hari ini masih bingung ngapain ya naik gunung,gunung
30,2022-10-15 16:13:25+00:00,Rang_Hoki,yang hobi naik gunung barangkali ada yg mau naik ke himalaya bareng bareng ht,gunung
31,2022-10-15 16:13:17+00:00,Sandradn_,banda neira punya segudang cerita termasuk penginapan satu ini namanya cilu bintang dekat dg fo belgica dan fo nassa,gunung
32,2022-10-15 16:13:15+00:00,faisalovers,kasus kapolda jatim adalah fenomena gunung es harga dari china 2 juta per kg dijual di indonesia 2 m per kg 500 t per tahu,gunung
33,2022-10-15 16:12:48+00:00,fapuw,penyerangan di rumah mantan anggota dpd litha brent di jalan gunung merapi sabtu sore tadi,gunung
34,2022-10-15 16:12:44+00:00,ayanggg____,banda neira punya segudang cerita termasuk penginapan satu ini namanya cilu bintang dekat dg fo belgica dan fo nassa,gunung
35,2022-10-15 16:12:38+00:00,sikunjel,sebulan stelah nonton futsal di 44 usaha menyamarkan belang karna sendal gunung saya siasia gr2 panasnya td siang yallah balik lg jd gosong,gunung
36,2022-10-15 16:11:34+00:00,asteropesky,seagama beanggung jawab sehobi pastinya salah satu aja suka baca buku suka nonton film ke gunung,gunung
37,2022-10-15 16:11:30+00:00,nufarans,setelah curhat sama temenku alhamdulillah udah mantep buat ambil keputusan ini tuh udah kayak gunung es masalah tak pendam terus akhirnya meledak dan aku udah gak tahan lagi,gunung
38,2022-10-15 16:11:27+00:00,ilyasnashuha,banda neira punya segudang cerita termasuk penginapan satu ini namanya cilu bintang dekat dg fo belgica dan fo nassa,gunung
39,2022-10-15 16:11:02+00:00,muragooo,gunung manglayang bgt,gunung
40,2022-10-15 16:10:59+00:00,azimbackline,datang untuk berbual di ruangan live gunung raya langkawi dan dapatkan bonus pengguna baru mengisi kod jemputan saya 272591589 dan mencari lebih banyak kejutan,gunung
41,2022-10-15 16:10:50+00:00,azimbackline,datang untuk berbual di ruangan live gunung raya langkawi dan dapatkan bonus pengguna baru mengisi kod jemputan saya 272591589 dan mencari lebih banyak kejutan,gunung
42,2022-10-15 16:10:47+00:00,azimbackline,datang untuk berbual di ruangan live gunung raya langkawi dan dapatkan bonus pengguna baru mengisi kod jemputan saya 272591589 dan mencari lebih banyak kejutan,gunung
43,2022-10-15 16:09:55+00:00,AsddarAYP,hidup ini sepei gunung yang tinggi tugas kita bukan harus mencapai menggapai puncaknya tapi menemukan tujuan kita lalu m,gunung
44,2022-10-15 16:09:45+00:00,djumelan,kasus kapolda jatim adalah fenomena gunung es harga dari china 2 juta per kg dijual di indonesia 2 m per kg 500 t per tahu,gunung
45,2022-10-15 16:09:33+00:00,nugrohorofil86,irjen teddy hanya pucuk gunung es beranikah polri bongkar,gunung
46,2022-10-15 16:08:52+00:00,gooqgle,gunung dong,gunung
47,2022-10-15 16:07:41+00:00,odesius_,beberapa org melakukan pendakian emang spei yang disampaikan mas2 diatas gunung bagi sebagian org adalah tempat paling bagus untuk tafakkur menepi dari keramaian dan untuk mereka yg ingin mengingat rasa syukur,gunung
48,2022-10-15 16:07:41+00:00,havefunonly,banda neira punya segudang cerita termasuk penginapan satu ini namanya cilu bintang dekat dg fo belgica dan fo nassa,gunung
49,2022-10-15 16:07:28+00:00,SERABUTAN163,mungkin jika alasannya itu bs membuat perjalanannya ke gunung hny transisi bukan akhir shg dia tetap merindukan pulang krn ada juga kan tujuan akhirnya puncak shg bgm pun caranya harus sampe walau badai padahal ada pulang yg prioritas,gunung
50,2022-10-15 16:06:55+00:00,foxigit,open promo follbacknkri izin pesona gunung api purba nglanggeran gungungkidul yogyakaa promoter,gunung
51,2022-10-15 16:06:32+00:00,foxigit,air terjun lahar dingin gunung semeru hati hati musim penghujan sekarang ini,gunung
52,2022-10-15 16:05:46+00:00,Se_Tia_23,irjen teddy hanya pucuk gunung es beranikah polri bongkar,gunung
53,2022-10-15 16:05:44+00:00,horanghaerang15,itu mie nya abis keluar dri gunung ya kok ada larvanya,gunung
54,2022-10-15 16:05:44+00:00,azimbackline,datang untuk berbual di ruangan live gunung raya langkawi dan dapatkan bonus pengguna baru mengisi kod jemputan saya 272591589 dan mencari lebih banyak kejutan,gunung
55,2022-10-15 16:05:34+00:00,azimbackline,datang untuk berbual di ruangan live gunung raya langkawi dan dapatkan bonus pengguna baru mengisi kod jemputan saya 272591589 dan mencari lebih banyak kejutan,gunung
56,2022-10-15 16:04:56+00:00,Fauzaafrida1,sering di lakukan abis turun gunung,gunung
57,2022-10-15 16:04:24+00:00,adinugr99175967,pegunungan aja capek naik gunung,gunung
58,2022-10-15 16:03:40+00:00,alesurself,jika saat ini rasa bersyukur mu kurang maka lihatlah poer gunung rinjani ini,gunung
59,2022-10-15 16:02:32+00:00,wallsmochimatch,turun gunung,gunung
60,2022-10-15 16:01:40+00:00,azimbackline,datang untuk berbual di ruangan live gunung raya langkawi dan dapatkan bonus pengguna baru mengisi kod jemputan saya 272591589 dan mencari lebih banyak kejutan,gunung
61,2022-10-15 16:01:38+00:00,azimbackline,datang untuk berbual di ruangan live gunung raya langkawi dan dapatkan bonus pengguna baru mengisi kod jemputan saya 272591589 dan mencari lebih banyak kejutan,gunung
62,2022-10-15 16:01:23+00:00,Arya08_,view 1 air terjun penimbungan 2 gunung rinjani saat sunrise 3 pelawangan rinjani via senaru 4 gunung rinjani dari suela,gunung
63,2022-10-15 16:01:19+00:00,azimbackline,datang untuk berbual di ruangan live gunung raya langkawi dan dapatkan bonus pengguna baru mengisi kod jemputan saya 272591589 dan mencari lebih banyak kejutan,gunung
64,2022-10-15 16:00:13+00:00,Cahndeso77,jika saat ini rasa bersyukur mu kurang maka lihatlah poer gunung rinjani ini,gunung
65,2022-10-15 15:59:32+00:00,azimbackline,datang untuk berbual di ruangan live gunung raya langkawi dan dapatkan bonus pengguna baru mengisi kod jemputan saya 272591589 dan mencari lebih banyak kejutan,gunung
66,2022-10-15 15:59:28+00:00,t0astboxx,banda neira punya segudang cerita termasuk penginapan satu ini namanya cilu bintang dekat dg fo belgica dan fo nassa,gunung
67,2022-10-15 15:59:20+00:00,azimbackline,datang untuk berbual di ruangan live gunung raya langkawi dan dapatkan bonus pengguna baru mengisi kod jemputan saya 272591589 dan mencari lebih banyak kejutan,gunung
68,2022-10-15 15:59:17+00:00,kidridho,banda neira punya segudang cerita termasuk penginapan satu ini namanya cilu bintang dekat dg fo belgica dan fo nassa,gunung
69,2022-10-15 15:59:12+00:00,azimbackline,datang untuk berbual di ruangan live gunung raya langkawi dan dapatkan bonus pengguna baru mengisi kod jemputan saya 272591589 dan mencari lebih banyak kejutan,gunung
