created_at,author,cleaned_tweet,category
2022-10-15 16:30:08+00:00,RFebriono,knp org naik gunung simple mereka jenuh berlebih energi kelebihan materi mencari penglaman beberapa berebut gelar sang penakluk menaklukan titik ancaman teinggi yg dilakukan manusia lain who knows cuman diri mereka sendiri yg bisa merasakan puas amp bangga dari sisi lain,gunung
2022-10-15 16:29:34+00:00,ivanasilo1,gua krn tinggal di bogor tiap pagi selalu lihat gunung salak ngebul ga tuh gunung,gunung
2022-10-15 16:26:43+00:00,andrikunn,anjir enak banget ya sebulan sekali bisa naik gunung,gunung
2022-10-15 16:25:41+00:00,iniahmed_,abi ge sok bingung om tarik teuing di gunung mah haha,gunung
2022-10-15 16:25:02+00:00,cabindimasanya,banda neira punya segudang cerita termasuk penginapan satu ini namanya cilu bintang dekat dg fo belgica dan fo nassa,gunung
2022-10-15 16:25:02+00:00,CelanaMalam,apekeheinya jem highway nak ke meru terpaksa dive to gunung lang tapi semua jem dah bukak waze semua meghohhh meri,gunung
2022-10-15 16:23:22+00:00,AditMKM,perdebatan ini terjadi karena belum turun gunung,gunung
2022-10-15 16:23:19+00:00,iniahmed_,haha nyaho tarik di gunung mah bingung nyalurkeun om wkwk,gunung
2022-10-15 16:22:24+00:00,pluviophel,ga inget periplus gunung agung,gunung
2022-10-15 16:22:22+00:00,FANITVCHANNEL1,sudah hadir di kolam renang lawai fantasi gunung medan dalam rangka belajar alam gakfolowporno cebongkelautaja aniesbaswedanforpresiden,gunung
2022-10-15 16:22:10+00:00,aqilahfauzii,dah dua tiga hari bersweater dalam rumah gunung jerai pun berkabus estetik betulll,gunung
2022-10-15 16:21:16+00:00,Pakwaaaaaaann,naik gunung terus bikin caption ai sebuah proses yg tidak mudah untk mencapai puncaknya,gunung
2022-10-15 16:20:53+00:00,arigaanas,mimpi itu berubah ubah sih ya ga pernah kepikiran buat baik gunung tiba tiba sekarang kepengen carstensz padahal karena diracunin tp kalo everest skip dl deh apa lg abis liat video org glinding dr atas,gunung
2022-10-15 16:20:08+00:00,agnestasya53,jeffbarcode au berawal dari jeff yang diam diam menyukai adik sepupu temannya sendiri gue rela mendaki gunung melewati,gunung
2022-10-15 16:19:39+00:00,keinara777,aku sudah jogging dua hari ini siap mendaki mau jadi anak senja dan gunung,gunung
