;kata;koreksi_kata
1;knp;
2;org;
3;naik;
4;gunung;
5;simple;
6;mereka;
7;jenuh;
8;berlebih;
9;energi;
10;kelebihan;
11;materi;
12;mencari;
13;penglaman;
14;beberapa;
15;berebut;
16;gelar;
17;sang;
18;penakluk;
19;menaklukan;
20;titik;
21;ancaman;
22;teinggi;
23;yg;
24;dilakukan;
25;manusia;
26;lain;
27;who;
28;knows;
29;cuman;
30;diri;
31;sendiri;
32;bisa;
33;merasakan;
34;puas;
35;amp;
36;bangga;
37;dari;
38;sisi;
39;gua;
40;krn;
41;tinggal;
42;di;
43;bogor;
44;tiap;
45;pagi;
46;selalu;
47;lihat;
48;salak;
49;ngebul;
50;ga;
51;tuh;
52;anjir;
53;enak;
54;banget;
55;ya;
56;sebulan;
57;sekali;
58;abi;
59;ge;
60;sok;
61;bingung;
62;om;
63;tarik;
64;teuing;
65;mah;
66;haha;
67;banda;
68;neira;
69;punya;
70;segudang;
71;cerita;
72;termasuk;
73;penginapan;
74;satu;
75;ini;
76;namanya;
77;cilu;
78;bintang;
79;dekat;
80;dg;
81;fo;
82;belgica;
83;dan;
84;nassa;
85;apekeheinya;
86;jem;
87;highway;
88;nak;
89;ke;
90;meru;
91;terpaksa;
92;dive;
93;to;
94;lang;
95;tapi;
96;semua;
97;dah;
98;bukak;
99;waze;
100;meghohhh;
101;meri;
102;perdebatan;
103;terjadi;
104;karena;
105;belum;
106;turun;
107;nyaho;
108;nyalurkeun;
109;wkwk;
110;inget;
111;periplus;
112;agung;
113;sudah;
114;hadir;
115;kolam;
116;renang;
117;lawai;
118;fantasi;
119;medan;
120;dalam;
121;rangka;
122;belajar;
123;alam;
124;gakfolowporno;
125;cebongkelautaja;
126;aniesbaswedanforpresiden;
127;dua;
128;tiga;
129;hari;
130;bersweater;
131;rumah;
132;jerai;
133;pun;
134;berkabus;
135;estetik;
136;betulll;
137;terus;
138;bikin;
139;caption;
140;ai;
141;sebuah;
142;proses;
143;tidak;
144;mudah;
145;untk;
146;mencapai;
147;puncaknya;
148;mimpi;
149;itu;
150;berubah;
151;ubah;
152;sih;
153;pernah;
154;kepikiran;
155;buat;
156;baik;
157;tiba;
158;sekarang;
159;kepengen;
160;carstensz;
161;padahal;
162;diracunin;
163;tp;
164;kalo;
165;everest;
166;skip;
167;dl;
168;deh;
169;apa;
170;lg;
171;abis;
172;liat;
173;video;
174;glinding;
175;dr;
176;atas;
177;jeffbarcode;
178;au;
179;berawal;
180;jeff;
181;yang;
182;diam;
183;menyukai;
184;adik;
185;sepupu;
186;temannya;
187;gue;
188;rela;
189;mendaki;
190;melewati;
191;aku;
192;jogging;
193;siap;
194;mau;
195;jadi;
196;anak;
197;senja;
198;ii;
199;ajun;
200;lagi;
201;kala;
202;ditinggal;
203;beban;
204;pak;
205;kapolri;
206;sangat;
207;berat;
208;seumur2;
209;baru;
210;ada;
211;jendral;
212;polisi;
213;aktif;
214;ditangkap;
215;ibarat;
216;es;
217;i;
218;sari;
219;banyak;
220;betul;
221;makanan;
222;viral;
223;kat;
224;sini;
225;orang;
226;ipoh;
227;moh;
228;kita;
229;ready;
230;eat;
231;foods;
232;pelbagai;
233;jenis;
234;desses;
235;sedap;
236;sist;
237;ameng;
238;kadieu;
239;ka;
240;garut;
241;ieu;
242;caket;
243;a;
244;urang;
245;ngaliwet;
246;bari;
247;canda;
248;tawa;
249;irjen;
250;teddy;
251;hanya;
252;pucuk;
253;beranikah;
254;polri;
255;bongkar;
256;saking;
257;mati;
258;gaya;
259;oposisi;
260;jaman;
261;jokowi;
262;rame;
263;merubah;
264;adi;
265;haters;
266;kakek;
267;tetiba;
268;merasa;
269;perlu;
270;pamer;
271;ijazah;
272;angkringan;
273;d;
274;dueket;
275;maen;
276;tempatnya;
277;oke;
278;anginnya;
279;was;
280;wus;
281;kudu;
282;pake;
283;jaket;
284;jompo;
285;menunya;
286;standar;
287;aja;
288;murmer;
289;juga;
290;lokasi;
291;perum;
292;btu;
293;makandimalang;
294;gede;
295;cepat;
296;sepei;
297;angin;
298;menyerbu;
299;api;
300;tenang;
301;hutan;
302;strategi;
303;furinkazan;
304;buset;
305;perform;
306;panggung;
307;segede;
308;lu;
309;masih;
310;secakep;
311;sampe;
312;ngapain;
313;hobi;
314;barangkali;
315;himalaya;
316;bareng;
317;ht;
318;kasus;
319;kapolda;
320;jatim;
321;adalah;
322;fenomena;
323;harga;
324;china;
325;juta;
326;per;
327;kg;
328;dijual;
329;indonesia;
330;m;
331;t;
332;tahu;
333;penyerangan;
334;mantan;
335;anggota;
336;dpd;
337;litha;
338;brent;
339;jalan;
340;merapi;
341;sabtu;
342;sore;
343;tadi;
344;stelah;
345;nonton;
346;futsal;
347;usaha;
348;menyamarkan;
349;belang;
350;karna;
351;sendal;
352;saya;
353;siasia;
354;gr2;
355;panasnya;
356;td;
357;siang;
358;yallah;
359;balik;
360;jd;
361;gosong;
362;seagama;
363;beanggung;
364;jawab;
365;sehobi;
366;pastinya;
