created_at,author,cleaned_tweet
2022-10-26 14:32:34+00:00,ngopibareng_id,jalan majapahit adalah jalur satu arah yang berada di pusat kota mojokerto deretan pertokoan berdiri di sisi timur dan barat sepanjang jalan ini
2022-10-26 14:32:23+00:00,calonbabeh1123,guys tolongin gua guys udah janjian sama pacar mau kuliner malem tapi telat jemput terus akhirnya dia pergi bareng kawanny
2022-10-26 14:32:02+00:00,theblue17night,please temen temen ku tolong infokan kuliner di kota kota yang tertera pada poster berikut
2022-10-26 14:31:41+00:00,BudiyantoEp,kami banyak membahas tentang kolaborasi kedepan salah satunya adalah bagaimana produk halal ekraf indonesia dari 3 subsektor
2022-10-26 14:31:14+00:00,yogurtmatcha24,guys tolongin gua guys udah janjian sama pacar mau kuliner malem tapi telat jemput terus akhirnya dia pergi bareng kawanny
2022-10-26 14:30:42+00:00,imyourbabee_,pempek no 1 di jember buat lidah aku ngalahin umak intan bujang tuo wong ayu sm kuliner bu mina yg langsung
2022-10-26 14:30:41+00:00,scndnyafiaa,jangan nanti yg nemenin aku kuliner siapa
2022-10-26 14:30:00+00:00,buddykuofficial,bertemu wapres menteri arab saudi sampaikan kebijakan baru haji dan umrah
2022-10-26 14:29:49+00:00,matanae_9,perpus sampe mabok ilmu jalan2 nyasar ampe pojokkan kampus cm ngeliat kucing liat2 kuliner der
2022-10-26 14:29:36+00:00,Delisa_Lockey,guys tolongin gua guys udah janjian sama pacar mau kuliner malem tapi telat jemput terus akhirnya dia pergi bareng kawanny
2022-10-26 14:29:18+00:00,Nafaaaa4,4 kuliner anget2 tengah malam di jogja anti terserah 1 munggur minang kudu cb mie kuah telor goreng ala minang 2
2022-10-26 14:28:55+00:00,LeekaMrza,guys tolongin gua guys udah janjian sama pacar mau kuliner malem tapi telat jemput terus akhirnya dia pergi bareng kawanny
2022-10-26 14:27:00+00:00,RADARSOLO_,berkunjung ke sukoharjo tak lengkap jika belum mencicipi lezatnya makanan olahan lombok ijo lokasi warung makannya berada di tengah perkampungan di kampung jati kembaran kuliner sukoharjo wisatakuliner lombokijo
2022-10-26 14:25:23+00:00,MasythaAz,guys tolongin gua guys udah janjian sama pacar mau kuliner malem tapi telat jemput terus akhirnya dia pergi bareng kawanny
