created_at,author,cleaned_tweet
2022-10-16 16:52:50+00:00,hope__x7,kmedia bts sukses menggelar konser di busan sekitar 50k orang menonton peunjukan di dlm stadion dan 10k orang menonton
2022-10-16 16:52:47+00:00,yudwasted,yang di jogja nanti subuh ada yg mau ikut ke pantai
2022-10-16 16:52:31+00:00,dicoxnysus,gua juga bahagia betul kirain bakal di tenggelamkan ke pantai
2022-10-16 16:52:22+00:00,_gyaismyname,teringin jugak rasa nak amik gambar dengan pasangan macam ni dekat pantai tapi sekarang mampu amik gambar kawan kawan je ht
2022-10-16 16:50:38+00:00,helmi_deris,gempa bumi kuat m6 2 berlaku di luar pantai amerika tengah pada pukul 8 48 mlm 16 oktober 2022 pusat gempa bumi di 4 4
2022-10-16 16:50:29+00:00,bugusbugus,kebayang kemping di pantai kaya gini jeung si itu wkwkwkwkwk
2022-10-16 16:48:54+00:00,DedyNad_id,natuna berbenah menyambut wisatawan pasca pandemik pantai tanjung dibersihkan oleh seluruh komponen mulai dari dlh d
2022-10-16 16:48:29+00:00,L_qmxn_XakNM,kalau mancity beli player pantai timur dia ckp apa natang ake
2022-10-16 16:48:14+00:00,vj4rmy13,kmedia bts sukses menggelar konser di busan sekitar 50k orang menonton peunjukan di dlm stadion dan 10k orang menonton
2022-10-16 16:47:55+00:00,Hfztlhsna__,saya sendiri tak boleh nak move on dengan gambar pantai tadii
2022-10-16 16:47:52+00:00,dallaverty,nginep deket pantai gini emang iso turu
2022-10-16 16:47:22+00:00,anisavitria_,sekitar 52 000 fans dari seluruh dunia menghadiri konser yet to come in busan di stadion utama busan asiad ada 12
2022-10-16 16:46:54+00:00,DOPEGRANGER,memang yang bikin cinta dan balik lagi ke pantai itu sunset sunset di pantai kesannya mahal gitu apalagi ditemenin suara ombaknya
2022-10-16 16:46:18+00:00,hainilou,kaya aroma nikmati buah kelapa segar di tepi laut yang berkilauan atau membaca buku di pantai
2022-10-16 16:46:07+00:00,mss_fortuna,fikksss beneran sih kyanya nih si naynayy brenang ke lauut jawaaaa okeehh ak kan siap siap bwa plampung dan mluncur ke pantai utara
2022-10-16 16:45:45+00:00,graciayolandap,engga beneran memudar dulu pas masih kecil aku selalu dibawa liburan ke pantai buat ilangin bekas gigitan nyamuk
2022-10-16 16:45:07+00:00,ssyafffff,kenapa selalu keluar lepak pantai is one of the saddesr questions to answer
2022-10-16 16:44:24+00:00,Arta_Heathent,kamu itu kayak suasana pantai dan gunung yang bikin sejuk dan lupa tentang apa itu kesedihan dan juga bikin kangen kalo udah sampe rumah
