created_at,cleaned_tweet
2022-10-10 15:01:31+00:00,kkn di desa penari extended ini sengaja dibuat hanya untuk mereka yg sudah mengikuti cerita ini sejak pertama kali cer
2022-09-29 06:16:21+00:00,ghibli life is so relaxing
2022-09-26 15:09:28+00:00,beneran dong indra perasa makanan bisa ilang wow sungguh aku tu bingung laluin nya
2022-09-26 03:11:08+00:00,manisss amat
2022-09-24 17:04:26+00:00,pertahanan gugur
2022-09-14 11:23:39+00:00,ada yang kering susah juga ya ngerawat
2022-09-06 02:36:26+00:00,tumpul
2022-09-06 02:35:38+00:00,kalo udah urusan angka bawaan nya pusing ya
2022-09-05 16:32:56+00:00,engklek sih biasanya
2022-09-05 16:32:03+00:00,si maksa
2022-09-05 16:08:45+00:00,ternyata kumpul keluarga 1 hari aja cukup banget ya buat ngobatin kangen dan bikin kaki pegel
2022-09-02 06:03:01+00:00,tiba tiba tayang tiba tiba tiba tiba
2022-09-01 11:29:25+00:00,paradox
2022-08-31 16:35:46+00:00,indonesia pleaseeeeee
2022-08-31 03:21:33+00:00,banyak banget perintilan yang harus di urus semoga prosesnya lancar
2022-08-30 15:05:30+00:00,gimana gimana udah nonton belum
2022-08-22 09:11:34+00:00,astagfirulloh stay safe ya semua
2022-08-14 09:44:57+00:00,ah elah mager banget mindahin data
2022-08-08 09:08:29+00:00,alhamdulillah
2022-08-03 04:31:35+00:00,hehe
2022-08-02 12:56:37+00:00,sate taichan ga dosa kan
2022-07-29 01:47:57+00:00,semangat weekend
2022-07-28 11:16:50+00:00,suka banget energinya balcony
2022-07-26 12:09:00+00:00,eh apani apani
2022-07-26 12:07:39+00:00,temu kangen sama kamu
2022-07-21 02:12:57+00:00,dengerin dustin pagi pagi leh uga nih memulaiharidengan
2022-07-17 09:25:35+00:00,angett
2022-07-16 12:16:33+00:00,fokus fokus
2022-07-16 12:15:42+00:00,cari yang deket deket
2022-07-16 12:13:43+00:00,jam 10 malem harus udah tidur sih malem ini
2022-07-11 08:07:33+00:00,bangun sakit nelen fix gejala flu
2022-07-08 02:00:12+00:00,terima kasih sudah datang di gala premiere perjalanan pertama
2022-07-04 09:28:40+00:00,ini serius nanya ya kalo mau olahraga tapi pengen banget makan gorengan dulu gimana dong
