created_at,cleaned_tweet
2022-10-18 22:56:17+00:00,gaboleh gitu parameter kecapekan setiap orang memang berbeda tapi kalo ada org lain yg mnrtmu l
2022-10-18 22:36:06+00:00,ya makanya jangan byk nyimpan dendam maafkan nyimpan dendam itu ibarat minum racun
2022-10-18 11:30:45+00:00,pankapan cobain root beer langsung di aw lebih enak awkwkwk
2022-10-17 13:22:52+00:00,bonjour madame
2022-10-17 13:19:18+00:00,tabah ta bah a tetap dan kuat hati dalam menghadapi bahaya dan sebagainya berani
2022-10-15 06:46:22+00:00,akhirnya pecah juga
2022-10-14 18:49:56+00:00,lorem ipsum dolor sit amet consectetur adipiscing elit vivamus imperdiet nisi id lorem cursus eleifend hendrerit nisl pellentesque pellentesque ut metus posuere finibus nibh eu gravida lacus duis quis velit cursus fermentum augue non cursus justo in et augue sed lectus
2022-10-12 21:52:18+00:00,memang yang paling penting tuh pondasi wkwk yuk bisa yuk
2022-10-09 15:16:23+00:00,nyoba nyoba twitter api dulu ygy wkwkw
2022-10-09 15:15:59+00:00,lorem ipsum dolor sit amet consectetur adipiscing elit vivamus imperdiet nisi id lorem cursus eleifend hendrerit nisl pellentesque pellentesque ut metus posuere finibus nibh eu gravida lacus duis quis velit cursus fermentum augue non cursus justo in et augue sed lectus
2022-10-02 22:48:46+00:00,agak lupa makin ke akhir tahun makin cepet juga matahari terbit
2022-10-02 22:30:34+00:00,anxiety
2022-10-02 12:30:54+00:00,tidur 24 jam ain t gonna fill the void
2022-10-02 10:55:29+00:00,wkwkwk traveloka logonya mirip twitter jadi sering ketuker wkwkwkwkwk
2022-09-30 08:11:36+00:00,bisa pas gitu wkwk
2022-09-29 05:08:53+00:00,yoshinoya big fried chicken comfort food banget mah ini
2022-09-29 05:07:31+00:00,perasaan juli masih 24k sekarang udah 27k aja woakwkw semester 1 kemaren malah 21k
2022-09-29 04:53:58+00:00,forgive your parents they did their best
2022-09-28 17:28:23+00:00,menunggu raden kanjeng rerun
2022-09-28 15:58:06+00:00,so far the archons are the best at some point venti best crowd control zhongli best shielder raiden best sub dps also battery cant wait to see whats nahida best at
2022-09-28 14:17:10+00:00,lifely reminder
2022-09-28 14:12:21+00:00,semakin sedikit yang engkau tahu semakin baik
2022-09-28 13:56:06+00:00,rasanya seperti odading mang oleh
2022-09-27 13:02:19+00:00,its not sleep anymore its an escape
2022-09-27 09:01:17+00:00,kalo sy cakepnya di cermin doang kalo coba difoto jadi gak cakep awkwk
2022-09-26 12:21:34+00:00,anime ao haru ride
2022-09-26 12:17:05+00:00,sorry mom im still trying please be healthy im gonna make u proud one day
2022-09-26 08:13:58+00:00,kan udh dibilang teknik adalah jurusan paling santuy apalagi teknik informatika
2022-09-25 19:35:21+00:00,gak tidur capek mau tidur gak ngantuk
2022-09-24 05:18:12+00:00,menu bokek harga 19 000 damn
2022-09-24 05:17:25+00:00,burger king menu promonya makin gak bersahabat di kantong
2022-09-22 13:52:53+00:00,jujur jujuran aja menurutku juri di indonesias got talent kayak reza arap amp rossa itu nggak ada gunanya denny sumargo
2022-09-22 08:26:12+00:00,bener bener solusi yang out of the box
2022-09-21 06:35:20+00:00,hu tao lucu bet jadi pengen punya
