created_at,cleaned_tweet
2022-10-19 11:21:46+00:00,why why why
2022-10-11 14:48:51+00:00,butuh pendengar yang baik
2022-10-09 05:45:13+00:00,terobos aja lah bismillah
2022-10-07 07:39:56+00:00,kumpulin niatnya vio
2022-10-06 07:00:36+00:00,gimana ya ya gimana lagi
2022-10-03 15:27:57+00:00,wew
2022-09-29 11:57:37+00:00,runtuhnya jdi public
2022-09-07 01:11:38+00:00,hemmm
2022-09-03 00:25:36+00:00,i just need a little rest
2022-08-27 16:52:49+00:00,kadang sesuatu yang menurut kita baik belum tentu baik kadang sesuatu yang menurut kita buruk bisa jadi itu yang terbaik tuhan mempunyai rencana yang terbaik untuk hambanya
2022-08-27 12:55:36+00:00,pawang banjir
2022-08-27 11:44:24+00:00,turunlah hujan ada yang sedang merindu
2022-08-12 10:52:17+00:00,rantau lagi nih mingiittss
2022-07-23 16:32:00+00:00,random
2022-07-23 15:33:20+00:00,gass
2022-07-21 04:56:09+00:00,hi untuk kamu yang lagi nyantai
2022-07-13 06:59:23+00:00,tanya aja sendiri wkwk kampret emang dahlah jual murah kameranya
2022-07-01 02:50:29+00:00,serious mode my new journey has just begun
2022-06-18 05:07:36+00:00,yoii tengkyu pak ari wkwk
2022-06-18 02:28:41+00:00,ntahlah harus bangga atau ngga posisi 3 53 yg gw tau cma jalanin terus berdoa minta support orang tua sama kerabat deket udh gtu aja bismillah
2022-06-16 13:46:43+00:00,hari ini cape tapi bahagia alhamdulillah
2022-06-16 11:51:34+00:00,dahlah tidur debest
2022-06-15 15:41:49+00:00,alhamdulillah bersyukur allah maha adil mungkin kalo dikecewain orang awal2 sulit menerimanya tetapi kalo udh mengikhlaskan keknya plong banget apalagi dikasih hadiah rejeki apa yang memang sbenarnya kita butuhin skrg sama allah
2022-06-15 01:34:07+00:00,hujan pagi ini healing banget buat gw
2022-06-14 12:41:39+00:00,kebodohan gw yg kedua kalinya teruntuk orang yg sama
2022-06-07 17:33:09+00:00,brainstorm
2022-06-07 04:39:21+00:00,june 7th is the day of the second sad experience after grandma passed away
2022-06-04 06:16:03+00:00,green and blue
2022-06-03 16:28:23+00:00,whats next
2022-06-03 04:49:07+00:00,ko jadi ngerasa bego yaa nyesel udh niat banget bales chatnya padahal eh ternyata ga sesuai ekspektasi wkwk
2022-06-01 15:21:48+00:00,rumah
2022-06-01 07:39:10+00:00,gunung
2022-05-31 08:37:42+00:00,btw kamu bisa data scientist atau data analyst atau emang anak it haha
2022-05-31 08:20:12+00:00,udh di approve jadi twitter dev udh d approve juga sepertinya iya emng harus bikin dataset sendiri jadi aku tuh bikin aplikasi sistem rekomendasi pariwisata berdasarkan aktivitas user d sosmed example ya twitter sosmednya eh btw makasih yaa udh ngasih sarannya
2022-05-31 06:04:06+00:00,ada yang tau ga bantu dong
2022-05-31 03:16:40+00:00,gw ini kerjaan gw crawling data udh beres kita fix kan text mining tim okay iyaa text mining sesuai sama revisi mentor tiba2 tim man jangan lupa ya buat datasetnya gambar hutan gw dalem hati buat apa ngumpulin data gambar hutan nyingg kan text mining
