created_at,cleaned_tweet
2022-10-19 05:09:38+00:00,the last answer
2022-10-18 14:20:43+00:00,daun kelorr ni enak kya seger gituu klo dibikin kuah ffvorit ibu hha
2022-10-18 14:09:58+00:00,udh tua bgt yh qita
2022-10-18 12:12:50+00:00,ada nyesalny juga pke ip
2022-10-18 12:11:05+00:00,pindah pulau
2022-10-18 09:47:22+00:00,wei jgn kytu akak
2022-10-18 09:02:58+00:00,lucky me punya satu
2022-10-18 09:02:57+00:00,kelas hari ini menyadarkan kalau boys who can actually speak and text in fluent english gt gt gt
2022-10-14 15:13:40+00:00,oh yg bilng gw lucu tu mksdnya gini yh
2022-10-14 14:55:02+00:00,es krim kwetiau goreng
2022-10-14 14:16:58+00:00,duh gimn yh dsindir
2022-10-14 12:38:07+00:00,suamimu ptong rmbut
2022-10-14 12:10:11+00:00,ngetik namamu di ms word ada garis bawah merahnya karna you were a mistake
2022-10-14 10:53:03+00:00,rilll
2022-10-14 10:52:33+00:00,imagine he has the same feeling
2022-10-14 10:23:59+00:00,bgi 2
2022-10-14 10:11:43+00:00,oktober full hujan kalo full mncintaimu itu aq
2022-10-14 10:06:59+00:00,another day of yaallah cape bnget pengen pelukan
2022-10-14 05:52:08+00:00,ky biasa
2022-10-13 17:08:54+00:00,stop main tiktok
2022-10-13 16:11:39+00:00,nanya ke yg ditinggal terus juga maksud anda apa
2022-10-13 16:09:23+00:00,nggilani
2022-10-13 15:30:22+00:00,runn
2022-10-13 15:24:04+00:00,aowkwk
2022-10-13 15:22:31+00:00,yaallah mcm mcm ja
2022-10-13 13:59:55+00:00,semua suruhan bpk sih
2022-10-13 13:58:20+00:00,cie dh idup
2022-10-13 13:57:30+00:00,buset u cakep bgt dah iriii
2022-10-13 13:47:46+00:00,wkwkwk
2022-10-13 13:37:24+00:00,bgst
2022-10-13 13:35:46+00:00,smw
2022-10-13 11:37:26+00:00,sabar dulu lah ulun kd kmna mna jua
2022-10-13 11:11:01+00:00,awikwok bgt
2022-10-13 11:01:54+00:00,nh ini
2022-10-13 08:47:06+00:00,aaaaa anabul onlen ku rip winter
2022-10-13 08:45:36+00:00,al fatihah untuk kakak aku yang dah pergi mengadap ilahi pagi tadi punca sebab gastrik lead to susah nafas dont ever s
2022-10-13 08:39:59+00:00,ga nabrak cuman hampir nyungsep aja di jembatan yg baru dibangun aowkwk
2022-10-13 06:11:35+00:00,full genset ai pehumaan
2022-10-13 05:42:44+00:00,gw
2022-10-13 05:35:18+00:00,mulai
2022-10-13 03:39:26+00:00,hbisni w mau kuliner date ah
2022-10-13 03:36:28+00:00,sini ke kos kumasakii
2022-10-13 03:30:03+00:00,kd phm lg nda
2022-10-12 12:56:41+00:00,jd ingt gw mau ramen date ehh keburu udahan
2022-10-12 10:05:13+00:00,ini bnrr bgt sih
2022-10-12 10:01:05+00:00,mau beli point gajadi jadi
2022-10-12 07:16:12+00:00,baru nyala listrik yh hhhhh
2022-10-12 06:45:50+00:00,if you make me happy ill make you happier
2022-10-12 05:00:59+00:00,gw yg sering lupa tgl haid pke ini jdi kebantu sih akurat juga
2022-10-11 09:08:20+00:00,noted
2022-10-11 08:57:06+00:00,i wish ay nyuu
2022-10-11 08:11:21+00:00,duh ini lucu
2022-10-11 07:43:34+00:00,spa sini yg tangannya mau ku cucuk
2022-10-11 07:43:25+00:00,satisfying bnr mncucuk tgn org pas cek gcu nih
2022-10-11 04:10:18+00:00,minta kontak mas yanto kopling
2022-10-11 04:03:29+00:00,direview hahaa
2022-10-11 00:48:37+00:00,hhhh yh
2022-10-10 15:09:18+00:00,loket atas dgn bwh sdh besimpun
2022-10-10 15:03:32+00:00,nyw jm brp hndk nntn
2022-10-10 13:29:08+00:00,wkwk ril
2022-10-10 10:52:05+00:00,pke yg merk fres pada harum semuaa variannya
2022-10-10 06:54:59+00:00,ccok gsan km
2022-10-10 03:22:21+00:00,morning bb
2022-10-10 02:37:54+00:00,mas hirotaka
2022-10-09 16:55:26+00:00,u sma spa banh
2022-10-09 15:38:02+00:00,hndk tulus jua
2022-10-09 08:35:27+00:00,22 ny hahaa
2022-10-09 08:15:47+00:00,bner
2022-10-09 05:09:23+00:00,hbistu stress duit abis
2022-10-09 03:10:51+00:00,iya bujur
2022-10-09 03:06:26+00:00,wkwkwk muha biasaku dsr kyni maaf maaf ai klo kelihatan bt merengut hndk dikypa kn
2022-10-09 03:06:26+00:00,ul coba senyum png
2022-10-08 12:22:46+00:00,ni lucu bgt pitak sbelah
2022-10-08 11:16:35+00:00,cwo jlek komunikasi ni emng minta diudahin aj
2022-10-08 11:11:03+00:00,paket combo 5 nya kack
2022-10-07 14:14:54+00:00,dih u kocak
2022-10-07 09:41:11+00:00,sama sama ga ya
2022-10-07 09:13:58+00:00,keren bgt
2022-10-07 08:43:49+00:00,gtu yh
2022-10-06 21:33:06+00:00,sering bgt flu
2022-10-06 16:08:00+00:00,bru mke nih trnyta tintnya kerasa mnis bgt u cobain sini dah
2022-10-06 15:35:46+00:00,huffttt
2022-10-06 12:54:16+00:00,tunjukan supir sby mlg mu itu
2022-10-06 06:14:40+00:00,selamatttt
2022-10-05 16:02:33+00:00,lol yh
2022-10-05 16:00:23+00:00,tos dulu
2022-10-05 14:56:17+00:00,yaallah bner bgt
2022-10-05 14:54:25+00:00,jgn denial syng
2022-10-05 14:53:52+00:00,emng bgst yg bo bo di trending twttr ni
2022-10-05 14:08:42+00:00,nah kyniam lh mun sudh kd ccok
2022-10-05 14:07:42+00:00,if i cant get close to you ill settle for the ghost of you
2022-10-05 14:04:56+00:00,wkwkw bisa bgt
2022-10-05 13:15:54+00:00,knp y tsel putus sma disney
2022-10-05 11:19:59+00:00,no it never happen again hhh
2022-10-05 10:08:48+00:00,inget jangan sombong hati hati tuhan bisa mengubah hidup seseorang hanya dalam sekali jentik skrg aja aku suka was was
2022-10-05 09:54:35+00:00,aneh aneh ja kelakuan lelaki ngini
2022-10-05 09:54:35+00:00,hh ni pasti lgi ribut lwn pacarnya
2022-10-05 09:54:34+00:00,akun ml u pke fto pacar lu sndiri lah ngpain pke fto cwe lain si tlol
2022-10-05 09:37:37+00:00,hahahahah
2022-10-05 05:19:44+00:00,pina belelain kulihat
2022-10-04 16:57:57+00:00,refund j aku
2022-10-04 16:54:44+00:00,km susul bru ksih tau aku hh
2022-10-04 16:48:43+00:00,km pertama syi testi
2022-10-04 16:46:43+00:00,yg ldr
2022-10-04 16:46:13+00:00,dicurigai ap pulg
2022-10-04 16:39:50+00:00,mndekatkan diri ke tuhan ni apkh bertemu dengannya
2022-10-04 16:05:31+00:00,ok udh dpt tpi bibir tipis ni apa jua lah diwarnai kd kelihatan
2022-10-04 15:53:21+00:00,oh boy friend mu itu
2022-10-04 15:51:00+00:00,np blm bbo cntik dh jm 12
2022-10-04 15:28:59+00:00,guyune mood
2022-10-04 15:28:11+00:00,ikut ikut j
2022-10-04 15:21:28+00:00,uyuh bnr ttwa
2022-10-04 15:06:10+00:00,dokter hewan
2022-10-04 14:10:35+00:00,keingat ibu pdip
2022-10-04 12:22:23+00:00,bangsaddd
2022-10-04 08:46:43+00:00,mood bgt
2022-10-04 03:30:42+00:00,sipaling cashless yola sm belci
2022-10-03 23:56:57+00:00,sbr yh
2022-10-03 13:40:26+00:00,akey ada penilaiannya jua
2022-10-03 11:53:57+00:00,smng rawrr
2022-10-03 09:09:04+00:00,tmn gw suka yg arabian
2022-10-03 07:43:55+00:00,hm beda tone
2022-10-03 07:38:31+00:00,boh belum maju sudah mundur
2022-10-03 07:37:04+00:00,kd jara ja lwan aku maka aku ni penyangitan
2022-10-03 07:35:29+00:00,haahahah
2022-10-03 07:15:47+00:00,tag yg mn yh
2022-10-03 05:23:54+00:00,we fell in love in october
2022-10-02 16:30:53+00:00,adalah fakta
2022-10-02 15:42:42+00:00,semangat arsyi embul
2022-10-02 15:22:18+00:00,pembahasan mlm ni pdhl menarik
2022-10-02 15:18:52+00:00,jalani aja sma yg lain
2022-10-02 15:16:16+00:00,hlh pling kna balikn pulg
2022-10-02 15:03:06+00:00,jmet cntik
2022-10-02 15:03:06+00:00,srry bgt sec acc w ky jmet
2022-10-02 12:10:17+00:00,bner
2022-10-02 09:43:38+00:00,8 10
2022-10-02 04:18:23+00:00,pusing milih lip shade
2022-10-02 03:32:27+00:00,yh udahan
2022-10-02 01:38:41+00:00,betmut
2022-10-02 01:37:45+00:00,rilllll tiap hari ngliatin sg nanda sma ardya
2022-10-02 01:34:15+00:00,minimal mikir
2022-10-01 12:06:41+00:00,ngpain izin yh
2022-10-01 11:37:04+00:00,wkwkk ajg
2022-10-01 08:10:38+00:00,bgst tiap awal bulan psti jd penyakitan
2022-09-30 23:38:51+00:00,janji gak iri
2022-09-30 14:20:11+00:00,lucu bnr previlej cantik ni benar adanya
2022-09-30 14:20:10+00:00,jd semangat membawa ceem nongki biar dpt bonusan mkn minum lg
2022-09-30 10:23:44+00:00,love is money jr cinta laura
2022-09-30 10:19:37+00:00,u aj yg baligh bjb kt gw
2022-09-30 09:37:42+00:00,ajrin biar bgtu juga dong bg
2022-09-29 12:02:33+00:00,gk deng bnyk beramiannya
2022-09-29 10:38:27+00:00,wkwkwk sial
2022-09-29 10:33:04+00:00,sepdump apkh isiny fto menangish smuah
2022-09-29 10:30:10+00:00,sadtember
2022-09-29 10:28:39+00:00,september banyak dramanya yh tsay
2022-09-29 05:14:18+00:00,mau mimpi nikah sm dprian jg tpi bgian seneng seneng ajh
2022-09-29 05:13:23+00:00,sungguh brutal
2022-09-29 03:23:47+00:00,wkwkwkw
2022-09-29 01:18:46+00:00,pngen toel
2022-09-28 15:39:04+00:00,gak aneh gw tiap abis main sama temen pasti kabar kabaran bgini buat make sure aja kalo udah sampe dan selamat
2022-09-28 12:59:47+00:00,pke dazzcam
2022-09-28 12:57:13+00:00,hhhhhh
2022-09-28 09:42:49+00:00,req
2022-09-28 09:31:52+00:00,wkwkwkw
2022-09-28 03:29:12+00:00,oikawa
2022-09-27 23:53:47+00:00,tweet lucu
2022-09-27 14:44:40+00:00,bisa solehah dan solehot trgntung cuaca
2022-09-27 12:47:07+00:00,smooth yhh
2022-09-27 12:17:29+00:00,udah jnjian tpi endingnya nonton sendiri
2022-09-27 11:53:44+00:00,bner nih
2022-09-27 11:29:29+00:00,aku sedih trus klo bgini
2022-09-27 10:04:36+00:00,bisa diajak ngwibuw breng
2022-09-27 03:30:18+00:00,as you wish
2022-09-27 02:24:21+00:00,bisa ga stop nyanyiin jing kd suka bnrr
2022-09-27 02:24:20+00:00,lagu rehan ini sedikit demi sedikit mengikis mental kyknya
2022-09-26 15:55:28+00:00,bsiap
2022-09-26 12:13:55+00:00,kaya kenal
2022-09-26 12:08:21+00:00,gas
