created_at,author,cleaned_tweet,category
2022-11-18 19:34:16+00:00,PempekJOERAGAN,kuliner pempek paling ajip mantap enaak sekaliiii nih sekali coba pasti suka pempekjoeragan pempekjoeragan,kuliner
2022-11-18 19:26:10+00:00,sneakyplankton,kuliner kampus bara dan sekitarnya a thread,kuliner
2022-11-18 18:54:36+00:00,rajodurian,rajo durian menyediakan produk kuliner durian yang berkualitas dan halal dengan harga terjangkau kuliner rajodurian,kuliner
2022-11-18 18:52:25+00:00,Dhotachin,kuliner tanjung duren ternyata banyak juga pisang goreng bu nanik minimal sekali harus coba jauh jauh ngekos di tanjung dureng masa kagak nyoba njir sama ichisan rame cuman jalan 1 menit sampe,kuliner
2022-11-18 18:41:15+00:00,rahmat_abdlh,bismillah terima pesanan soto bandung hujan hujan enak mantul suruput sehah kuliner bandung by guning dm ya,kuliner
2022-11-18 18:40:16+00:00,InvesJamurJabon,punya deposito di bank bunga 7 tahun kena adm inflasi cukup join investas kuliner bagi hasil bulanan setara 2 bulan mau join,kuliner
2022-11-18 18:37:02+00:00,adynoosauruz,jends yg warlok semarang bole info kuliner pedes yg wajib dicoba gak nih mau healing dari organisasi toxic soalnya xix,kuliner
2022-11-18 18:36:15+00:00,PaimoMontok,kenapa om adian ngak promo kuliner dapil dia saat pileg waktu bagus dia promo di daerah dapilnya,kuliner
2022-11-18 18:35:36+00:00,NiamAlaikFahmy,fess info kuliner pedes yg wajib dicoba di kota semarang kalau bisa yg hidden gem yak makasihhh pict pemanis,kuliner
2022-11-18 18:28:12+00:00,YanGuning2,bismillah alhamdulillah baru beres bikin masakan buntil kuliner bandung by guning tot jeletot tak endol maknyus sehah yang mau order dm,kuliner
2022-11-18 18:24:32+00:00,Nofafifu_,wisata kuliner non halal jogja krispiii manjalita dengan sambal matah hati ditinggal kekasih rabi bonus sop 44rb kenyang,kuliner
2022-11-18 18:23:39+00:00,lilbrainbigbutt,ngekos dulu gih ntar kita kuliner tengah malem,kuliner
2022-11-18 18:22:16+00:00,fahrie_mion,10 kuliner kota solo yang wajib dicoba saat di kota solo,kuliner
2022-11-18 18:13:48+00:00,AbangJo01485356,perkenalkan ini mr ben warga amerika serikat yang sudah 5 tahun berbisnis kopi di indonesia saya bertemu dengannya di kota,kuliner
2022-11-18 18:11:13+00:00,BikinLaparMata,kuliner bogor taman kencana dan sekitarnya adalah surganya menikmati ayam bakar dengan minum sop buah nikmat,kuliner
2022-11-18 18:08:21+00:00,JeonMyeo,kuliner indonesia memang seng ada lawan terbukti saat ajak dua pemain sepak bola legendaris alessandro nest,kuliner
2022-11-18 18:03:46+00:00,MyrraQ,10 kuliner sukabumi legendaris dengan rasa yang nikmat dan selalu ramai pengunjung a thread,kuliner
2022-11-18 18:03:29+00:00,JOERAGANGroup,ini dia kuliner favorit para joeragan hmm yummi kualitas premium dijamin ketagihan wajib coba gan,kuliner
2022-11-18 18:02:24+00:00,JustJulyo,day 3 kuliner amp shopping time chatuchak market market ini cuma open di weekend sabtu minggu mulai dari pagi malam,kuliner
2022-11-18 18:01:29+00:00,cahyads,sebenere kuliner bandung ni keangkat gegara bacotan orang jakarta aj sih aslinya mah biasa biasa aj sotony,kuliner
2022-11-18 17:48:43+00:00,dapurmlizajogja,hujannya awet ya ga kaya cerita kita uhukk jam jam perut keroncongan nih aneka olahan masakan fresh order online gofood grabfood shopeefood kuliner jogja kuliner murah sleman kalasan,kuliner
2022-11-18 17:34:27+00:00,lenctur,tyun km apa gamau kuliner ke semarang di semarang juga ada bakso enak lho,kuliner
2022-11-18 17:34:16+00:00,PempekJOERAGAN,ingin punya usaha kuliner paling potensial saat ini kami mengusung konsep kuliner sehat higienis halal amp nikmat,kuliner
2022-11-18 17:34:14+00:00,lebakbansel,kuliner khas jepang dengan citra rasa indonesia ramen ya kini punya 57 gerai hadir di cilegon,kuliner
2022-11-18 17:29:03+00:00,VIVAlife_,sensasi menikmati steak secondary cuts langka hingga wagyu sumatera,kuliner
2022-11-18 17:26:15+00:00,fletwaitt,rekomendasiin kuliner sini nder,kuliner
2022-11-18 17:25:29+00:00,si_gembira,uooppoooo 3 dino mangan ayam laos wilho lehku masak ko omah inginku jajan kuliner bali,kuliner
2022-11-18 17:24:36+00:00,rajodurian,hayooo gabung dengan rajo durian management di usaha dagang kuliner buah durian si raja buah kuliner rajodurian,kuliner
2022-11-18 17:22:58+00:00,DlFurqon,gw tau itu di pasar kuliner,kuliner
2022-11-18 17:18:49+00:00,hedianafu,masak sih sama wisata kuliner bareng mari menikmati kelejatan masakan bersamaku,kuliner
2022-11-18 17:14:47+00:00,kiyongeyes,waduh apa ya hmm hampir full kuliner pedes di semarang sih nder wkwk mie seblak dll akehhhhh hehe,kuliner
2022-11-18 17:07:48+00:00,Unsoedfess1963,jends yg warlok semarang bole info kuliner pedes yg wajib dicoba gak nih mau healing dari organisasi toxic soalnya xixixi macciw jends,kuliner
2022-11-18 17:04:20+00:00,PempekJOERAGAN,investasi kuliner ala joeragan invest 25 jutaan cek infonya disini join skrg,kuliner
2022-11-18 17:03:34+00:00,JOERAGANGroup,hayo dipilih kuliner kesukaan agan yang mana ni rasanya dijamin paling puoooolll mampir yuk,kuliner
2022-11-18 17:03:23+00:00,FOOD_FESS,guis info kuliner pedes yg wajib dicoba di kota semarang kalau bisa yg hidden gem yak makasihhh,kuliner
2022-11-18 16:58:33+00:00,JarpulSelatan,sakustik on stage lagi sabtu malam meluncur ke taman kuliner ciputat,kuliner
2022-11-18 16:56:29+00:00,Alba89MsMugi,kuliner nusantara disajikan beragam penampilan budaya tarian dan pertunjukan mengisi suguhan untuk tamu tamu penting itu s,kuliner
2022-11-18 16:56:03+00:00,chococaip,1 wisata kuliner aku gabisa makan di tempt beli makan aneh tp dimakan sendiri 2 nonton konser gabisa pergi nonton konser sendiri bingung mau ngapain 3 bandara pengen jalan jalan jauh berdua aku bisa sendiri tapi berasa hambar gitu,kuliner
2022-11-18 16:55:49+00:00,SungaidiSholeh,sop ayam kampung super bu asih di salakan bangunharjo sewon bantul yogyakarta rasanya weenak pol segerr banget sop sopayam ayamrica ayamgoreng soplegendaris kuliner kulinerjogja wisatakuliner jogjasop jogjakuliner duniasopayam chiken ayamsambel ayamviral viral,kuliner
2022-11-18 16:54:37+00:00,EdwarFeggy,tuuhh yang bisa merapat menikmati kuliner ala sumbar yakin anda pasti akan ketagihan menu dengan olahan rempah,kuliner
2022-11-18 16:54:35+00:00,rajodurian,rasakan lembut dan gurihnya kuliner rajo durian ini di outlet outlet kami atau pun bisa anda bawa pulang kuliner rajodurian,kuliner
2022-11-18 16:53:10+00:00,olabonjourhello,egoku sakit banget kamu bilang aku ga sayang kamu disaat tiap aku ketemu kuliner enak langsung mikir ke kamu sebanyak apa meme yang aku save buat kita review bareng waktu aku ngerasa kegiatanku asik aku selalu mikir kalo ada kamu pasti seru soon harus ajak,kuliner
2022-11-18 16:53:01+00:00,jogjamnfs,yg suka jajan kuliner nonton film yuk mutual jog like aja,kuliner
2022-11-18 16:51:13+00:00,agii09090907,lawar bali jadi simbol keharmonisan pm kenada inggris saat ngafe di g20 asikmakanbersama,kuliner
2022-11-18 16:47:39+00:00,KJRI_Hamburg,moin sahabatkjrihamburg sajian fine dining kuliner indonesia hangatkan malam kuliner indonesia di awal musim dingin bagi sekitar 50 orang pengunjung restoran einzigartig l neburg pada 17 november 2022,kuliner
2022-11-18 16:47:21+00:00,tamartamsil,tuuhh yang bisa merapat menikmati kuliner ala sumbar yakin anda pasti akan ketagihan menu dengan olahan rempah2 yang disajikan selamat menikmati,kuliner
2022-11-18 16:46:31+00:00,Bambangelf,bikin akun di mastodon tapi ga mau bahas politik akunku mautouring akan bernagi info soal motor touring kuliner tempat wisata dan liburan yang hepi hepi aja lah follow2an yuk,kuliner
2022-11-18 16:46:29+00:00,Kang_Roh89,utk waktu saat ini yg buka area sleman lap taman kuliner pandawohajo sleman area bantul gunting gilangharjo pandak bantul,kuliner
2022-11-18 16:44:21+00:00,humoreez,inovasi kuliner,kuliner
2022-11-18 16:40:17+00:00,InvesJamurJabon,ingin punya resto kuliner joeragangroup di bandung dibuka kemitraan amp investasi utk lokasi bdg join skrg,kuliner
2022-11-18 16:34:15+00:00,PempekJOERAGAN,investasi resto kuliner joeragan paling diminati saat ini prodpektif dan potensial join,kuliner
2022-11-18 16:34:00+00:00,tingkiwink,dream date aku makan baso aci bareng keliling jkt ngasi makan kucing minta temenin ke panti main sm anak ke sea world liat ikan zoo date kuliner jajan ky cimol basreng wrwr sisanya aku mikir dulu bareng partner ku kl uda ada partner hehe,kuliner
2022-11-18 16:27:59+00:00,0605_pm,note mfff banget tapi kartu kuliner mahika hanya pemanis ya id tukang pukul kebumian gak akan ikut di paket kalian yg beruntung nantinya,kuliner
2022-11-18 16:24:36+00:00,rajodurian,dengan 8 outlet yang tersebar di jakarta depok dan bogor memudahkan anda untuk menikmati hidangan kuliner dari kami kuliner rajodurian,kuliner
2022-11-18 16:24:28+00:00,crtakuh,belum pernah ada kesempatan untuk berkunjung ke medan memang katanya kuliner medan ga ada yang gaga,kuliner
2022-11-18 16:24:16+00:00,ackasamikerman,belum pernah ada kesempatan untuk berkunjung ke medan memang katanya kuliner medan ga ada yang gagal sih aaaak pengen,kuliner
2022-11-18 16:24:01+00:00,AndryWaseso,berita g20 di medsos kebanyakan perkara batik tontonan kesenian kuliner dan betapa dihormatinya presiden kita oleh bos2 negara lain substansi entah apa sebenarnya ini company outing atau apa sih,kuliner
2022-11-18 16:18:18+00:00,holdmykentang,gara gara kamu isi timelineku kuliner solo semua,kuliner
