created_at,author,cleaned_tweet,category
2022-11-18 18:40:29+00:00,abcdiloveyouf,nomin college au d dingin mau diangetin saat j en o dan j ae m in ngecamp di gunung dingin menerjang buat yang sedi,gunung
2022-11-18 18:40:17+00:00,lutfimove,pemagaran dan gapura tpu astana gunung kp nyalindung rt 02 rw 04 kel cicurug kec cicurug lt span cla 19 nov trend whatsapp tender lelang,gunung
2022-11-18 18:39:48+00:00,imamtoyib1,promo diskon khans sandal gunung pria wanita lebron black diskon 22 checkout sekarang,gunung
2022-11-18 18:38:10+00:00,imjusthumann_,kangen naik gunung,gunung
2022-11-18 18:37:25+00:00,UNSfess_,halo mas mbak karanganyar kota atau sekitar bejen nek malem e hujan nanti pagi gunung lawu keliatan ga ya 11fess,gunung
2022-11-18 18:36:10+00:00,Noramisah,tmbah lagi jln nk klau gunung tu pon berlubang habis,gunung
2022-11-18 18:36:00+00:00,imamtoyib1,promo diskon arsy sport sandal gunung pria jepit abu diskon 33 checkout sekarang ht,gunung
2022-11-18 18:35:57+00:00,FacktaWaw,tempat dengan gravitasi terendah ada di gunung nevado huascaran peru sementara yang tertinggi ada di arktika,gunung
2022-11-18 18:33:31+00:00,lutfan_mohamad,foto2 yg diambil minggu lalu mengingatkan syair ini tanah tandus kerontang banjir datang itu pasti dr lagunya iwan f,gunung
2022-11-18 18:33:19+00:00,SeputarInfoo,pada tahun 1980 reinhold messner mendaki puncak gunung everest tanpa bantuan tabung oksigen,gunung
2022-11-18 18:30:30+00:00,joviesantoso,tiba tiba kepikiran gunung lawu apakah akan jadi liburan akhir tahun,gunung
2022-11-18 18:28:05+00:00,rpbmk15,kumpulan peralatan pendaki gunung a thread,gunung
2022-11-18 18:27:18+00:00,tkngvnyo,foto2 yg diambil minggu lalu mengingatkan syair ini tanah tandus kerontang banjir datang itu pasti dr lagunya iwan f,gunung
2022-11-18 18:26:46+00:00,sklorzxootcy,naik gunung camping bareng makan di kaki lima hujan2,gunung
2022-11-18 18:23:59+00:00,Martabak_LEGIT,bandung pasteur gunung batu cimahi kebon kopi cihanjuang dago dipati ukur sarijadi tubagus ismail gado bangkong kopo katamso,gunung
2022-11-18 18:17:33+00:00,AmirDemokrat,gunung padang,gunung
2022-11-18 18:15:55+00:00,thisismnd,bagus bgt meng iri kelas 2 sd cm bisa gambar gunung matahari rumah kotak sama sawah 3 garis,gunung
2022-11-18 18:10:16+00:00,Jimmysbastian,kata anak motor calon suami yg ideal itu pembalap kata anak gunung calon suami yg baik itu pendaki ideal amp baikmah nuloba duit blog ah,gunung
2022-11-18 18:10:03+00:00,Pimpim694,jarene wus menang keturutan seng di gadang mbiyen nate janji neng saiki opo lali neng nggunung tak suguhi sego jagung yen m,gunung
2022-11-18 18:08:57+00:00,vyyaarraa,bismillah demi aksa sayang ku cinta ku kekasih ku jangankan rt dan like menyelami hutan gunung sawah lautan akan ku arungi demi kamu beb bismillah yu sebelum dapet aksa versi rl gedebak gedebuk bucin si paling soto panjang umur tentunya dapet aksa versi buku utk ku peluk,gunung
2022-11-18 18:08:29+00:00,pwettymoonlxtte,lucu banget adikmu berbakat akhirnya ibu guru tidak hanya melihat gambar dua gunung sawah dan jalan saja lucu b,gunung
2022-11-18 18:08:09+00:00,oyeelia,nomin college au d dingin mau diangetin saat j en o dan j ae m in ngecamp di gunung dingin menerjang buat yang sedi,gunung
2022-11-18 18:07:51+00:00,jalanjalandotin,apa kalian percaya mitos tentang hal hal yang berada di alam liar mungkin salah satunya gunung,gunung
2022-11-18 18:05:38+00:00,hartantiwuri_,foto2 yg diambil minggu lalu mengingatkan syair ini tanah tandus kerontang banjir datang itu pasti dr lagunya iwan f,gunung
2022-11-18 18:04:59+00:00,apankkkk,sampe detik ini masih pgn tinggal di desa deket pantai gunung sambil menggembala sapi kemana2 naik kuda tp orngnya suka jajan,gunung
2022-11-18 18:03:38+00:00,KewelL05327995,terwakili usutsampaituntas usuttuntas aremania prayforkanjuruhan yogyakarta gunung semeru dadang sepakat,gunung
2022-11-18 18:01:02+00:00,KupasGundah,ku takkan dpat meraih puncak gunung jika ku tak mampu taklukkan dinding terjal dibawahnya kupasgundah semangat,gunung
2022-11-18 17:59:58+00:00,isnotdetected,nomin college au d dingin mau diangetin saat j en o dan j ae m in ngecamp di gunung dingin menerjang buat yang sedi,gunung
2022-11-18 17:59:09+00:00,17syoonjh,ada di gunung yang,gunung
