created_at,author,cleaned_tweet
2022-11-21 04:03:33+00:00,ezuZulfairy,hahahah kemah po skalo demo hahah
2022-11-21 03:40:00+00:00,gonehim,xpo ganu kemah banyok dh klate ni keno jadi mace ganu
2022-11-21 03:35:36+00:00,aaalifakmaal,dulu pakai tuala ja now dah kemah keming
2022-11-21 03:23:30+00:00,zaquan94,takpe la jang bukak kemah kat padang merbok je dengar dengar ada perhimpunan tiap minggu lepas ni
2022-11-21 03:06:01+00:00,__roticanai,kemah odo epi lonim
2022-11-21 02:54:33+00:00,yedamip,1 kelarin tugas 3 matkul 2 belajar woy desember uas 3 bikin soal uas buat sd kls 5 sma kls 4 nih 4 prepare kemah pas desember takbir aja deh gue banyakin istighfar jujur seru tapi kek wahh ya allah mantul ya allah mantap betul
2022-11-21 02:50:56+00:00,alif_farhan7,fitnah org x smayang lepastu fak2 kn org mcm ni je laa level budak ph berhujah terlalu kemah level pling bawah bila berhujah
2022-11-21 02:40:29+00:00,AzriYusainey,hahahahah kemah keming
2022-11-21 02:27:42+00:00,thequeenzara,pas sd aku juga sering dibuli genk cewe yg mimpin punya kakak cewe yg ga naik kelas 2x n jadi premannya dia paling parah pas persami dibilang temen2 hrs jauhin aku tmasuk ga boleh makan camilan yg dibelikan ortu amp dianterin jauh2 ke tempat kemah akhirnya kebuang
2022-11-21 02:25:12+00:00,Noname77045059,parti lain pon bagi dekat terengganu lepas mengundi boleh pergi kemah setiap parti mereka akan bagi duit minyak kalau kita travel dari luar terengganu
2022-11-21 02:24:17+00:00,lokmanazrai,hahahaa jangan politikkan warna kemah sy
2022-11-21 02:20:02+00:00,m_arifhisham,haha kemah laaa ejah sampai
2022-11-21 02:19:15+00:00,fikriii_rairai3,kemah
2022-11-21 02:18:40+00:00,yemithekid,malam terakhir kemah kmrn denger lagu ini semua org disitu pada nangis wkwkwkw
2022-11-21 02:16:59+00:00,yemithekid,sekangen itu sama kemah kmrn
2022-11-21 02:15:47+00:00,twinkleaves,ga rela tapi ttp kemah di teyvat
2022-11-21 02:00:15+00:00,khairulamirin7,kemah keming dem
2022-11-21 01:59:00+00:00,alkhudzri,kemah mat sabu ckp english
2022-11-21 01:39:09+00:00,mxrshit_,kemah ust fadhli shaari
2022-11-21 01:34:40+00:00,BastianCaspar,mazmur 84 10 84 11 sebab lebih baik satu hari di pelataran mu dari pada seribu hari di tempat lain lebih baik berdiri di ambang pintu rumah allahku dari pada diam di kemah kemah orang fasik
2022-11-21 01:30:50+00:00,honeystarsssss,tolong klo mau hiking kemah gt ajakin gue napa klo ini belom berani klo sendiri dan perizinannya susah klo gada temennya klo ada yg ngajak ini gue seriusan mau latihan fisik kaya lari pagi dll gt serius
2022-11-21 01:26:54+00:00,keizarogf,hahahahahaanjir ternyata anak cowo kemarin pas mau pulang kemah tuh sempat ngambil galon air minum mau dibawa sekalian segalon galonnya amp udah diselundupin di truknya cuma ketauan bu eva
