created_at,author,text
2022-11-21 03:53:38+00:00,dheanggasa,"Aturan jika kita pergi ber camping !

1. Jangan main klarinet.
2. Jangan pernah melambaikan lampu senter ke depan dan ke belakang terlalu cepat. Itu dianggap undangan.
3. Jangan pernah berhenti menatap sekitar.
4. Jangan makan keju, kecuali yang kotak."
2022-11-21 03:45:55+00:00,itboyjuyeons,vibes ngajak camping diatas mobil https://t.co/dishMtxmRI
2022-11-21 03:29:09+00:00,Kickyn1,Oleh2 camping Gajog hill https://t.co/G7Z2aoVmDV
2022-11-21 03:20:26+00:00,battskater666,Dah macam camping kena buat group plan persembahan apa nak kena buat wutoh https://t.co/A0QBj9CJbM
2022-11-21 03:20:03+00:00,bohyuahn,"@shinzeeun Gampang, nanti kita camping bareng ya. Tungguin jadwal lenggang dulu... Kangen camping. 😞"
2022-11-21 02:59:59+00:00,AndyHuskyyy,@karinapratiwi_ Itu setelah kegiatan camping sekolah Bund??? Astaga
2022-11-21 02:57:16+00:00,arachellll,@elleeusine Gatau dulu waktu pulang camping ketinggalan kereta trus duit pas2an numoang di stasiun trus di usir wkwkwk
2022-11-21 02:50:04+00:00,tiadaid,"@TerusHidup_ Jalan berlubang, sila datang Selangor. Sama je compang camping, even kat kawasan orang kaya!"
2022-11-21 02:33:52+00:00,Wks67977783,"@sadtember27 Camping, kemarin aku camping bareng teman ku 
Suka deh 

SENSATIONAL LALISA IN LA #MONEY #SG"
2022-11-21 02:22:42+00:00,idbcpr,"Jelajah Wisata Sukabumi -  Yuk jelajah tempat wisata Sukabumi!! - photo by  taken at Calliandra Camping Ground, #Kadudampit... - https://t.co/iGy6E644qg"
2022-11-21 02:16:31+00:00,karinapratiwi_,"Ntahlah... W lg bingung campur marah krn pagi ini tiba2 liat muka adek sambung w udh luka2. Kt dia, pas ikut kegiatan camping sekolah ada lumpur yg dioles2 ke wajahnya... Ga brp lama kulitnya malah berasa kebakar. Dia jg ga tau itu dicampurin apa smp kulitnya jd melepuh. https://t.co/z5bsPybAPu"
2022-11-21 02:03:14+00:00,aiurthings,itupun last wara wiri ye kalo nggak mah gatau deh kita camping di pantai kali ya🤣 https://t.co/UTpyoUxl4F
2022-11-21 01:59:01+00:00,bukanyourbae,"@tanyakanrl Hantu di daerah perkotaan sama hantu di hutan itu beda. Di hutan lebih liar dan berbahaya, karna mereka jarang sekali ngeliat manusia, jd sekalinya liat manusia...capernya bukan main.

Jd hati2 kalo ke main ke hutan...entah itu naik gunung atau camping."
2022-11-21 01:50:15+00:00,wintersceneryv,@KimVant20403609 @chizikook_ uda paling bener tu reporter mending gelar tiker di bandara sekalian camping dah yak 😭😭😭😭
2022-11-21 01:40:33+00:00,gongjumyn,"RT @meovvrites: —332
Hari-H Camping https://t.co/kaMXqtFjO8"
2022-11-21 01:25:33+00:00,chuessie,cih ga sadar padahal kaum lu duluan yg dari kemaren camping di bawah postan tentang jisoo camila LOL https://t.co/QETvlGI6X4
