created_at,author,cleaned_tweet
2022-11-18 19:34:16+00:00,PempekJOERAGAN,kuliner pempek paling ajip mantap enaak sekaliiii nih sekali coba pasti suka pempekjoeragan pempekjoeragan
2022-11-18 19:26:10+00:00,sneakyplankton,kuliner kampus bara dan sekitarnya a thread
2022-11-18 18:54:36+00:00,rajodurian,rajo durian menyediakan produk kuliner durian yang berkualitas dan halal dengan harga terjangkau kuliner rajodurian
2022-11-18 18:52:25+00:00,Dhotachin,kuliner tanjung duren ternyata banyak juga pisang goreng bu nanik minimal sekali harus coba jauh jauh ngekos di tanjung dureng masa kagak nyoba njir sama ichisan rame cuman jalan 1 menit sampe
2022-11-18 18:41:15+00:00,rahmat_abdlh,bismillah terima pesanan soto bandung hujan hujan enak mantul suruput sehah kuliner bandung by guning dm ya
2022-11-18 18:40:16+00:00,InvesJamurJabon,punya deposito di bank bunga 7 tahun kena adm inflasi cukup join investas kuliner bagi hasil bulanan setara 2 bulan mau join
2022-11-18 18:37:02+00:00,adynoosauruz,jends yg warlok semarang bole info kuliner pedes yg wajib dicoba gak nih mau healing dari organisasi toxic soalnya xix
2022-11-18 18:36:15+00:00,PaimoMontok,kenapa om adian ngak promo kuliner dapil dia saat pileg waktu bagus dia promo di daerah dapilnya
2022-11-18 18:35:36+00:00,NiamAlaikFahmy,fess info kuliner pedes yg wajib dicoba di kota semarang kalau bisa yg hidden gem yak makasihhh pict pemanis
2022-11-18 18:28:12+00:00,YanGuning2,bismillah alhamdulillah baru beres bikin masakan buntil kuliner bandung by guning tot jeletot tak endol maknyus sehah yang mau order dm
2022-11-18 18:24:32+00:00,Nofafifu_,wisata kuliner non halal jogja krispiii manjalita dengan sambal matah hati ditinggal kekasih rabi bonus sop 44rb kenyang
2022-11-18 18:23:39+00:00,lilbrainbigbutt,ngekos dulu gih ntar kita kuliner tengah malem
2022-11-18 18:22:16+00:00,fahrie_mion,10 kuliner kota solo yang wajib dicoba saat di kota solo
2022-11-18 18:13:48+00:00,AbangJo01485356,perkenalkan ini mr ben warga amerika serikat yang sudah 5 tahun berbisnis kopi di indonesia saya bertemu dengannya di kota
2022-11-18 18:11:13+00:00,BikinLaparMata,kuliner bogor taman kencana dan sekitarnya adalah surganya menikmati ayam bakar dengan minum sop buah nikmat
2022-11-18 18:08:21+00:00,JeonMyeo,kuliner indonesia memang seng ada lawan terbukti saat ajak dua pemain sepak bola legendaris alessandro nest
2022-11-18 18:03:46+00:00,MyrraQ,10 kuliner sukabumi legendaris dengan rasa yang nikmat dan selalu ramai pengunjung a thread
2022-11-18 18:03:29+00:00,JOERAGANGroup,ini dia kuliner favorit para joeragan hmm yummi kualitas premium dijamin ketagihan wajib coba gan
2022-11-18 18:02:24+00:00,JustJulyo,day 3 kuliner amp shopping time chatuchak market market ini cuma open di weekend sabtu minggu mulai dari pagi malam
2022-11-18 18:01:29+00:00,cahyads,sebenere kuliner bandung ni keangkat gegara bacotan orang jakarta aj sih aslinya mah biasa biasa aj sotony
2022-11-18 17:51:44+00:00,malixaaa48,10 kuliner sukabumi legendaris dengan rasa yang nikmat dan selalu ramai pengunjung a thread
2022-11-18 17:48:43+00:00,dapurmlizajogja,hujannya awet ya ga kaya cerita kita uhukk jam jam perut keroncongan nih aneka olahan masakan fresh order online gofood grabfood shopeefood kuliner jogja kuliner murah sleman kalasan
2022-11-18 17:47:40+00:00,Virakl,10 kuliner sukabumi legendaris dengan rasa yang nikmat dan selalu ramai pengunjung a thread
2022-11-18 17:34:27+00:00,lenctur,tyun km apa gamau kuliner ke semarang di semarang juga ada bakso enak lho
2022-11-18 17:34:16+00:00,PempekJOERAGAN,ingin punya usaha kuliner paling potensial saat ini kami mengusung konsep kuliner sehat higienis halal amp nikmat
