created_at,author,cleaned_tweet
2022-11-18 16:35:46+00:00,sptnfr,selamat malam coban
2022-11-18 14:54:57+00:00,syaurubyjane,worth it nderr yg di coban rondo bkn
2022-11-18 12:37:18+00:00,payasligulum,yalanci coban
2022-11-18 10:15:14+00:00,malikaajjah,dii coban rondo tapii namae greenrock cafe
2022-11-18 07:00:57+00:00,PerumPerhutani,bukan bumbu dapur ini coban jahe yang mungkin belum kamu tahu
2022-11-18 03:29:51+00:00,devaoktaaa,bobocabin coban rondo ini sepertinya tydac kenzie friendly yaa
2022-11-18 02:59:50+00:00,Mythica44402881,woow
2022-11-18 00:30:06+00:00,bondolclekitet,nama coban jahe malang yang tak ada hubungannya dengan bumbu dapur
2022-11-18 00:21:46+00:00,distilasikelana,budug asu bedengan bobocabin coban rondo cangar
2022-11-18 00:10:16+00:00,John__Tedy,coban rondo trus awakmu topo nang walike air terjune
2022-11-17 23:52:10+00:00,bambang_rahma,yg sabar iyah coban itu pasti ada jalan keluar x
2022-11-17 23:06:46+00:00,ryezma_Am,ke coban rais jalan kaki 1 jam bertemu bangkai ular yang mulai mengering bangkai kijang yg sebagian tubuhnya dimakan oleh hewan lain dan ada anjing liar lewat alhamdulillah selamat sampai tujuan hingga kembali
2022-11-17 21:25:19+00:00,SlavVjeko,coban 2 0
2022-11-17 18:41:44+00:00,ayomakansungjin,bonus versi nak senja camping di coban rais
2022-11-17 12:28:44+00:00,LpapC,nama coban jahe malang yang tak ada hubungannya dengan bumbu dapur
2022-11-17 11:51:12+00:00,detikTravel,bukan bumbu dapur ini coban jahe yang mungkin belum kamu tahu
2022-11-17 09:28:48+00:00,AzrinoGusta,mugi mugi nglangkungi coban puniki gusti
2022-11-17 03:14:12+00:00,bnjouro,aku bebasss kemana aja juga ayo coba tanya anak anak mau nggak soalnya coban juga gitu doang
2022-11-17 03:09:14+00:00,xoondingie,ku ga mood jp aslinya emm coban rondo
2022-11-17 03:05:42+00:00,PerumPerhutani,nama coban jahe malang yang tak ada hubungannya dengan bumbu dapur
