created_at,author,cleaned_tweet
2022-11-21 03:26:37+00:00,jntexpressid,halo kak mohon maaf sebelumnya jika area curug center sedang terjadi kendala akan kami bantu follow up terlebih dahulu ke tim lapangan agar dimaksimalkan mohon kesediaannya untuk menunggu atau anda bisa langsung menghubungi call center kami di 02180661888 terima kasih
2022-11-21 03:16:34+00:00,PPSDMPD,halo sobatpusbangdarat ppsdmpd bikin bangga nih 2 penghargaan langsung disabet oleh ppsdmpd dalam acara rakor bpsdmp yang diselenggarakan pada tanggal 17 november 2022 di ppi curug
2022-11-21 03:14:35+00:00,keyyynine,pas ke curug di cianjur tp bru bilang pas dh nyampe lagi sm dosen gua dikira dosen cowo trs nakal anj dimrahin karena klo jalan seringggggg bgt kepeleset keseleo keplitek
2022-11-21 03:09:16+00:00,kpupemalang,temanpemilih ayo daftar ppk lokasi curug jajar desa badak kecamatan belik kpumelayani pemiluserentak2024
2022-11-21 03:07:04+00:00,txtjarjit,air aqua tuh ngisi ulangnya langsung dari gunung melalui curug apa pake paralon
2022-11-21 02:45:16+00:00,RandomPongo,omgg i really miss my classmatesss haha hihi taunya pandemi yg pushup barengan karena telat berangkat fieldtrip datang pagi demi bakpaoo rusdii yg rela ngantri demi tarot an sama nuril pagi buta buat ke curug naik angkot laporan sambiloto senior asik yg sok asix g usah in
2022-11-21 02:38:06+00:00,jntexpressid,halo kak mohon maaf sebelumnya jika area curug center sedang terjadi kendala akan kami bantu follow up terlebih dahulu ke tim lapangan agar dimaksimalkan mohon kesediaannya untuk menunggu atau anda bisa langsung menghubungi call center kami di 02180661888 terima kasih
2022-11-21 02:34:58+00:00,bapermulu_com,curug leuwi cepet bogor keindahan alami di kaki gunung salak
2022-11-21 02:29:16+00:00,originalmatcha_,abis badmintonan jam 1 ke bukit pelangi terus ke vila siangnya ke curug heiiiiii kalian ini kakiku pengkor tau ga
2022-11-21 02:27:52+00:00,detergen18,seperti biasa curug
2022-11-21 02:27:03+00:00,KodamJayakarta,pembinaan teritorial terus dilakukan anggota koramil 02 curug kodim 0510 tigaraksa melalui berbagai kegiatan di wilayah binaannya pelda mistar bersama masyarakat melaksanakan karya bakti lingkungan di kp anggris rt 01 05 desa curugsangereng kec kelapa dua kab tangerang
2022-11-21 02:20:39+00:00,atikamarta_,lu gamau ke curug kulonprogo apa yun wkwkwkwk
2022-11-21 02:06:17+00:00,PerumPerhutani,intip keindahan wisata curug nangka bogor yang diselimuti cerita mistis
2022-11-21 02:04:14+00:00,konkguwan,jalan arah curug lawe
2022-11-21 01:45:39+00:00,Teguhgunawan04,jl arah curug luhur kota bogor jawa barat
2022-11-21 01:22:32+00:00,arlecchinou,aku bakal jadi pindah ke curug bye perum
2022-11-21 01:05:02+00:00,roseareblackk,diajak main sama dia gua digendong sampe legend wkwkw gua makin resep akhirnya minta buat maen terus di chat ml ujung2nya dia minta no wa lgsng ngajak ketemu sambil jalan2 ke curug sepanjang naik curug pegangan tangan padahal baru ketemuuuu
2022-11-21 01:04:43+00:00,adamzikric,q time date sih gua ajakin cewe gua buat nyore di curug udah kesorean sih awalnya takut tapi vibes nya nambah karna ada matahari sore jadi fine fine aja
2022-11-21 00:58:21+00:00,Jarwo99661180,setiap pagi berangkat kerja dari arah sumber arta kapin pasti selalu macet karena jalan terlalu sempit hanya 2 jalur akibatnya pengendara sepeda motor yg ke arah jakarta puter balik di lampiri melawan arus sampai di curug raya raden inten
2022-11-21 00:56:37+00:00,idinkdonk,subang om curug cijalu
2022-11-21 00:08:43+00:00,Jarwo99661180,kalau lancar gak usah dijagain pak coba deh kirim anggota untuk mengatur lalu lintas di lampiri pondok kelapa amburadul setiap hari kerja pagi macet sampai curug raya gara2 lampu merah dihilangkan akibatnya sepeda motor pada puter balik melawan arah
2022-11-20 22:52:56+00:00,inidihyil,temen sd gua yg nikah meni ngaberebet ampe 4 orang dan i masih nonton spombob pagi2 sambil nyarap sambil nyanyi hayang kawin win win win hayang kawin hahaha engga lah anjir hayu atuh ke curug ihh cuaca bogor lagi panas bgt nih 2 poe terakhir sigana karna banyak yg hajat deh
2022-11-20 22:40:20+00:00,NnwaaNaw,ayoo ajak aku ke curug ayoooo
2022-11-20 21:59:02+00:00,waajadehka,selamat tua pembuat curug
2022-11-20 21:27:45+00:00,JogjaCTour,wisata alam curug nglarangan jogjacitytour jogja traveling guide
2022-11-20 20:57:42+00:00,JogjaCTour,wisata alam curug sidoharjo jogjacitytour jogja traveling guide
2022-11-20 18:27:42+00:00,JogjaCTour,wisata alam curug nglarangan jogjacitytour jogja traveling guide
2022-11-20 16:25:40+00:00,doublechococola,kalo ga puncak ya curug
2022-11-20 16:23:26+00:00,ngasiemng,bermasalah knp kak paket saya juga sama di curug
2022-11-20 16:00:04+00:00,nonanise,orang lain tiba tiba sebar undangan bahkan posting foto nikahan i masih duduk bengong sambil jaga lilin aja awkwk sambil nyanyi i wanna be on top i wanna be on top gak tuh hahaha ko ngakak sendiri ya pingin ke curug ih dahyul hari jumat yu pasti sepi wkwk
2022-11-20 15:51:04+00:00,sohntwelve,gimana ni min solusinya untuk cust kalo kurirnya aja pada mogok kerja semua di jnt kec curug
2022-11-20 15:48:57+00:00,sohntwelve,anjir pantesan paket gua blm sampe2 dr tgl 11 ternyata jnt curug lagi bermasalah hadeh mana paket makanan semua
