created_at,author,text
2022-11-21 03:26:37+00:00,jntexpressid,"@ngasiemng Halo kak, mohon maaf sebelumnya jika area CURUG_CENTER sedang terjadi kendala. akan kami bantu follow up terlebih dahulu ke tim lapangan agar dimaksimalkan, mohon kesediaannya untuk menunggu atau anda bisa langsung menghubungi call center kami di 02180661888, terima kasih 🙏"
2022-11-21 03:16:34+00:00,PPSDMPD,"Halo #SobatPusbangdarat!

PPSDMPD bikin bangga nih! 2 penghargaan langsung disabet oleh PPSDMPD dalam acara Rakor BPSDMP yang diselenggarakan pada tanggal 17 November 2022 di PPI Curug. https://t.co/cRLaafsqxL"
2022-11-21 03:14:35+00:00,keyyynine,"@tanyarlfes pas ke curug di cianjur tp bru bilang pas dh nyampe, lagi sm dosen gua dikira dosen cowo trs nakal anj, dimrahin karena klo jalan seringggggg bgt kepeleset, keseleo, keplitek, https://t.co/cpCOMGPclT"
2022-11-21 03:09:16+00:00,kpupemalang,"#TemanPemilih, Ayo daftar PPK...

📍Lokasi Curug Jajar Desa Badak Kecamatan Belik

#KPUMelayani #PemiluSerentak2024 https://t.co/qMs1pFeFnV"
2022-11-21 03:07:04+00:00,txtjarjit,Air aqua tuh ngisi ulangnya langsung dari gunung melalui curug? apa pake paralon
2022-11-21 02:45:16+00:00,RandomPongo,"omgg i really miss my classmatesss haha hihi taunya pandemi..
yg pushup barengan karena telat berangkat fieldtrip 
datang pagi demi bakpaoo rusdii
yg rela ngantri demi tarot-an sama nuril
pagi buta buat ke curug
naik angkot 
laporan
sambiloto
senior asik, yg sok asix g usah
(+in)"
2022-11-21 02:38:06+00:00,jntexpressid,"@abcdoamadt Halo kak, mohon maaf sebelumnya jika area CURUG_CENTER sedang terjadi kendala. akan kami bantu follow up terlebih dahulu ke tim lapangan agar dimaksimalkan, mohon kesediaannya untuk menunggu atau anda bisa langsung menghubungi call center kami di 02180661888, terima kasih 🙏"
2022-11-21 02:34:58+00:00,bapermulu_com,"Curug Leuwi Cepet Bogor, Keindahan Alami di Kaki Gunung Salak https://t.co/tNeCL69JED"
2022-11-21 02:29:16+00:00,originalmatcha_,"abis badmintonan,  jam 1 ke bukit pelangi, terus ke vila, siangnya ke curug 

heiiiiii, kalian ini

kakiku pengkor tau ga https://t.co/TPuvOp57E7"
2022-11-21 02:27:52+00:00,detergen18,"@bodoamatnin Seperti biasa, curug"
2022-11-21 02:27:03+00:00,KodamJayakarta,"Pembinaan teritorial terus dilakukan anggota Koramil 02/Curug Kodim 0510/Tigaraksa, melalui berbagai kegiatan di wilayah binaannya. Pelda Mistar bersama masyarakat melaksanakan karya bakti lingkungan di Kp Anggris Rt 01/05 Desa Curugsangereng, Kec Kelapa Dua, Kab Tangerang. https://t.co/furPkOnSas"
2022-11-21 02:20:39+00:00,atikamarta_,@yuniayuun lu gamau ke curug kulonprogo apa yun wkwkwkwk
2022-11-21 02:06:17+00:00,PerumPerhutani,Intip Keindahan Wisata Curug Nangka Bogor yang Diselimuti Cerita Mistis https://t.co/7bEF5RfQF5
2022-11-21 02:04:14+00:00,konkguwan,@unnesmenfess jalan arah Curug lawe
2022-11-21 01:45:39+00:00,Teguhgunawan04,JL arah Curug luhur kota Bogor Jawa barat 📌 https://t.co/aLVro7FKf1
2022-11-21 01:22:32+00:00,arlecchinou,aku bakal jadi pindah ke curug 🥲 bye perum
2022-11-21 01:05:02+00:00,roseareblackk,"@Askrlfess Diajak main sama dia gua digendong sampe legend wkwkw gua makin resep akhirnya minta buat maen terus di chat ML, ujung2nya dia minta no wa lgsng ngajak ketemu sambil jalan2 ke curug sepanjang naik curug pegangan tangan padahal baru ketemuuuu 😭"
2022-11-21 01:04:43+00:00,adamzikric,"@tanyakanrl @Alfiann00 q time date sih,gua ajakin cewe gua buat nyore di curug, udah kesorean sih awalnya takut tapi vibes nya nambah karna ada matahari sore jadi fine fine aja"
2022-11-21 00:58:21+00:00,Jarwo99661180,"@JuntBonar @TMCPoldaMetro @NTMCLantasPolri @DivHumas_Polri Setiap pagi berangkat kerja dari arah Sumber Arta - Kapin pasti selalu MACET karena jalan terlalu sempit hanya 2 jalur,akibatnya pengendara Sepeda motor yg ke arah Jakarta puter balik di Lampiri melawan arus sampai di Curug raya Raden Inten."
2022-11-21 00:56:37+00:00,idinkdonk,"@anggicau @RandyNteng @TS1Crew @Pelukjauhh @WeureuGadung Subang om, Curug Cijalu"
2022-11-21 00:08:43+00:00,Jarwo99661180,"@TMCPoldaMetro Kalau lancar gak usah dijagain Pak,coba deh kirim anggota untuk mengatur lalu lintas di Lampiri/Pondok Kelapa  AMBURADUL setiap hari kerja pagi Macet sampai Curug Raya gara2 lampu merah dihilangkan,akibatnya sepeda motor pada puter balik melawan arah.😝😝"
2022-11-20 22:52:56+00:00,inidihyil,"temen SD gua yg nikah meni ngaberebet ampe 4 orang, dan i masih nonton spombob pagi2 sambil nyarap, sambil nyanyi hayang kawin win win win hayang kawin hahaha engga lah anjir
hayu atuh ke curug ihh, cuaca bogor lagi panas bgt nih 2 poe terakhir, sigana karna banyak yg hajat deh https://t.co/cSv7nhsimq"
2022-11-20 22:40:20+00:00,NnwaaNaw,"ayoo , ajak aku ke curug ayoooo!!"
2022-11-20 21:59:02+00:00,waajadehka,@dennis_endrian Selamat tua pembuat curug
2022-11-20 21:27:45+00:00,JogjaCTour,Wisata Alam Curug Nglarangan https://t.co/opLgvvK4q2 #JogjaCityTour | Jogja Traveling Guide
2022-11-20 20:57:42+00:00,JogjaCTour,Wisata Alam Curug Sidoharjo https://t.co/k8L67mGYH2 #JogjaCityTour | Jogja Traveling Guide
2022-11-20 18:27:42+00:00,JogjaCTour,Wisata Alam Curug Nglarangan https://t.co/opLgvvt1o2 #JogjaCityTour | Jogja Traveling Guide
2022-11-20 16:25:40+00:00,doublechococola,@rhesusposht kalo ga puncak ya curug :))
2022-11-20 16:23:26+00:00,ngasiemng,@sohntwelve Bermasalah knp kak paket saya juga sama di curug
2022-11-20 16:00:04+00:00,nonanise,"orang lain tiba-tiba sebar undangan, bahkan posting foto nikahan. I masih duduk bengong² sambil jaga lilin aja awkwk. sambil nyanyi i wanna be on top i wanna be on top gak tuh? @inidihyil hahaha ko ngakak sendiri ya. pingin ke curug ih dahyul, hari jumat yu. pasti sepi wkwk. https://t.co/atJcQx6P99"
2022-11-20 15:51:04+00:00,sohntwelve,@jntexpressid gimana ni min solusinya untuk cust kalo kurirnya aja pada mogok kerja semua di jnt kec. Curug https://t.co/2K1nOUnSra
2022-11-20 15:48:57+00:00,sohntwelve,"anjir pantesan paket gua blm sampe2 dr tgl 11, ternyata jnt curug lagi bermasalah hadeh.. mana paket makanan semua🥲"
2022-11-20 15:41:29+00:00,suryana_manalu,"@jntexpressid paket saya no resi JP0943079401 dikirim dari tgl 15 Nov sampai hari ini tidak sampai, dan ini pengiriman sesama Tangerang kec. Curug 😔 bad sevice, sudah komplain. Tidak ada update setelah komplain baru update tracking, itu juga nggak jelas."
2022-11-20 15:05:44+00:00,Rendiatmaja11,"@edicte_merr ini di curug mana, spill dong masbro"
2022-11-20 14:57:49+00:00,JogjaCTour,Wisata Alam Curug Sidoharjo https://t.co/k8L67moPsU #JogjaCityTour | Jogja Traveling Guide
2022-11-20 14:47:38+00:00,babyimwett,"@javvaeagle Belum pernah ke semeru mas, tapi bisa ku sarankan kalo ko healing ga berat” aman ke curug sini haha"
2022-11-20 14:44:22+00:00,himawariathena,pgn ke curug lg tp w g kuat naik sm turunny :( ada jasa gendong g sie
2022-11-20 14:19:29+00:00,x0xome,"@Askrlfess minimal ada curug si nder, biar kl healing ga jauh2"
2022-11-20 13:42:52+00:00,lovemarkmore,@bisumone curug kalimalang kakk
2022-11-20 13:27:33+00:00,FaShelvi,"@khak_aryotong @mhdarieff_ Ngadi ngadi loe bang .. sekalian aja pke baling baling bambu...
Klo mau ke Curug bumi jangn pke mobil...aksesnya susah dijangkau"
2022-11-20 12:48:16+00:00,Malizios0,@orenjus_ @slvrsulfadiazin Curug mana itu yg terakhir
2022-11-20 12:15:50+00:00,Amethyst97_,"Sorenya lanjut trekking di Situ Gunung, sepi dan sendirian di hutan serasa kayak petualangan Sherina, pasang musik terus nyanyi-nyanyi sendiri. Seru dan menantang, baru masuk aja udah diikutin tawon, kejatohan ulet lah, dan pas mau pulang dari curug ngeliat uler melintas https://t.co/7OwZCNehCc"
2022-11-20 11:32:44+00:00,M4554931,"RT @AdihPijat: Ready pagi,siang,sore
Out call
Curug tangerang dan sekitarnya
https://t.co/sQFmi25fUE
@lefiepradana1 
@PijatTangeran13 
@Pij…"
2022-11-20 11:26:08+00:00,AdihPijat,"Ready pagi,siang,sore
Out call
Curug tangerang dan sekitarnya
https://t.co/sQFmi25fUE
@lefiepradana1 
@PijatTangeran13 
@PijatTangerang8 
@RMaeshal 
@Revannomassage
@M4554931"
2022-11-20 11:16:03+00:00,holicdoppler,"@CikalNursalam gua lewat curug kal, setu bagian ngalor"
2022-11-20 11:13:49+00:00,Ewinnugros,"RT @jntexpressid: @nayunn28 Baik kak, mohon maaf sebelumnya jika area CURUG_CENTER sedang terjadi kendala. akan kami bantu follow up terleb…"
2022-11-20 11:01:58+00:00,dadang_gonjes,RT @novanputraa: @txtdaribdg_ Curug Cibangkuong - Ciwidey https://t.co/UpAhCv2IxP
2022-11-20 10:57:43+00:00,Pelukjauhh,"RT @idinkdonk: om teu kabita kitu ulin ka curug balikna lgs di sambut liwet 🤪

@TS1Crew 
@Pelukjauhh @WeureuGadung https://t.co/czhnXQc5aP"
2022-11-20 10:38:28+00:00,radarbogorID,"Sunday Walking Berlanjut, Melepas Rindu Bertemu Curug https://t.co/8AtQ7boH27"
2022-11-20 10:33:37+00:00,nayunn28,"@jntexpressid @jntexpressid tolong dong ditindak lanjuti gudang jnt curug center, mau ngambil paket sendiri susah bgt prosesnya"
2022-11-20 10:15:38+00:00,oppenaeur,@AkhsnMln curug apa yh
2022-11-20 10:07:36+00:00,wisataawesome,"Curug Cirajeg
Desa Neglasari, Purabaya, Sukabumi.

Repost: @addam_s20

#wisatasukabumi #purabaya https://t.co/7RyOSlev6i"
2022-11-20 10:00:17+00:00,idnjaya89,"Radar Bogor : Sunday Walking Berlanjut, Melepas Rindu Bertemu Curug BOGOR-RADAR BOGOR, Perj  https://t.co/OlWKzBhF3m"
2022-11-20 09:22:42+00:00,Acus_RV,Vibes minggu pagi dari ciwidey menuju curug ceret cianjur selatan... https://t.co/BB7tMghfPe
2022-11-20 09:00:28+00:00,infowisatajabar,"Curug Cikaso, Ujung Genteng, sukabumi, jabar. https://t.co/3ipd5fQygt"
2022-11-20 08:57:51+00:00,umbi2an_12,"@Riyansupyans tmn main naik gunung k curug meninggal... trs motoran sendiri k bogor k tmpt yg prnh k sana dl,,😭😭"
2022-11-20 08:41:32+00:00,lady_alpheus,@Eskapuccino Curug Putrii gak terlalu jauh dari kantor teteh
