created_at,author,cleaned_tweet
2022-11-20 12:48:41+00:00,tzqyaalya,pgn ke gunung
2022-11-20 12:48:34+00:00,dilatm80,dear kang perkenalkan nama saya susan janda dengan dua orang anak penduduk daerah gunung batu bandung
2022-11-20 12:48:17+00:00,nisriisme,dear kang perkenalkan nama saya susan janda dengan dua orang anak penduduk daerah gunung batu bandung
2022-11-20 12:48:07+00:00,yjpbeatbox,dear kang perkenalkan nama saya susan janda dengan dua orang anak penduduk daerah gunung batu bandung
2022-11-20 12:47:35+00:00,melanieppuchino,dear kang perkenalkan nama saya susan janda dengan dua orang anak penduduk daerah gunung batu bandung
2022-11-20 12:47:30+00:00,AriefPokto,dear kang perkenalkan nama saya susan janda dengan dua orang anak penduduk daerah gunung batu bandung
2022-11-20 12:47:24+00:00,balyan_aul,dear kang perkenalkan nama saya susan janda dengan dua orang anak penduduk daerah gunung batu bandung
2022-11-20 12:47:06+00:00,ahmadsahri82,dear kang perkenalkan nama saya susan janda dengan dua orang anak penduduk daerah gunung batu bandung
2022-11-20 12:46:38+00:00,Teh__L,dear kang perkenalkan nama saya susan janda dengan dua orang anak penduduk daerah gunung batu bandung
2022-11-20 12:46:17+00:00,lazuandi,dear kang perkenalkan nama saya susan janda dengan dua orang anak penduduk daerah gunung batu bandung
2022-11-20 12:45:47+00:00,akuluthfi,dear kang perkenalkan nama saya susan janda dengan dua orang anak penduduk daerah gunung batu bandung
2022-11-20 12:45:26+00:00,ffffffffarah,kaya ninja hatori hari ini mendaki gunung lewati lembah
2022-11-20 12:45:21+00:00,arumseta,dear kang perkenalkan nama saya susan janda dengan dua orang anak penduduk daerah gunung batu bandung
2022-11-20 12:45:10+00:00,ahiritxt,hahah pls jurnalis tmi jirisan membuat rindu naik gunung hiks cinematography nya mantavv
2022-11-20 12:44:44+00:00,chijeuna,basement taman balkon hutan sawah gunung wahana landasan heli labirin
2022-11-20 12:44:01+00:00,grintibobaaa,terakhir ke gunung kidul pas oktober bulan kemarin macet polll habis tuu kapok ga lagi2 kesana misal bulan2 terakhir di akhir tahun
2022-11-20 12:43:51+00:00,Murdian09309315,emng knapa dngan bpk bng bukankah blau sudah menjadi seorang pelukis handal gitu dan udah turun sarang eh salah turun gunung
2022-11-20 12:43:48+00:00,straprdna_,aku suka senja aku suka langit aku suka gunung aku city light aku suka coffee tapi aku lebih suka kamu dan yang aku ga suka cuma feeling lonely
2022-11-20 12:43:44+00:00,goshkil,selayaknya film shinkai kualitas dan detail visual film ini bukan main dari awal kita akan diberi visual yang mewah da
2022-11-20 12:42:58+00:00,ab_zue,bertabahlah harapan setinggi gunung namun seakan mula runtuh sudahh
2022-11-20 12:42:31+00:00,maulfihzfh,alasan pertama terlalu banyak biaya retribusi tapi fasilitas 0 dan tempatnya kotor bgt dengan uang 15k kalo di jogja aku udah bisa mengunjungi banyak pantai bagus di gunung kidul tapi kalau di jepara tu engga masuk ke pantai bayar nanti nyebrang ke pulaunya bayar lagi
2022-11-20 12:42:00+00:00,HendroSunar,indonesia memang indah salah satunya gunung telomoyo adalah gunung yang terletak di wilayah kabupaten semarang dan kabupaten magelang jawa tengah gunung ini memiliki ketinggian 1 894 m dpl dan merupakan gunung api yang berbentuk strato tetapi belum pernah tercatat meletus
2022-11-20 12:41:49+00:00,Mr_PrasT_Jr,weleeehhh dikasih motor kulkass sepeda gunung sapa yang gak mo dateng sengklek
2022-11-20 12:41:25+00:00,bermuntahan,dipikir pikir seru juga pas bagian menelurusi gunung sambil hujan hujanan selebihnya enggak
2022-11-20 12:41:23+00:00,iSatrio,dear kang perkenalkan nama saya susan janda dengan dua orang anak penduduk daerah gunung batu bandung
2022-11-20 12:41:15+00:00,dearlylipii,tpu benerr wkwkw soalnya habits wlelelewolo kapal nya nabrak gunung es
2022-11-20 12:39:21+00:00,ipannnshi,hiling kalian kemana gunung pantai air terjun kasur
2022-11-20 12:39:09+00:00,Jennive44072252,perem ini namanya putri imbiri tinggal di polimak 2 gunung jayapura anak kompleks
2022-11-20 12:38:32+00:00,sayitblessed,kek gini masi tanya nder lu kagak gosok gigi di gunung kan gas lahh
2022-11-20 12:38:22+00:00,Azharysfrmdhan,hal yang sama ditemukan juga di sudut gunung putri
