created_at,author,cleaned_tweet
2022-11-19 19:08:24+00:00,nrlaqilaa,kelakau hawau tengok bubble klang valley cuba jadi politically correct pasei political landscape kat pantai timur amp utara
2022-11-19 19:07:55+00:00,mazuisme,pas bertanding bawah logo pas di pantai timur pas bertanding bawah logo pn di pantai barat penyokong tegar pas akan t
2022-11-19 19:07:52+00:00,Kingsmal1,satu lagi dorg pandai main logo kawasan pantai timur guna logo pas sek dia nampak bulan calon spender tetap pangkah bulan pantai barat logo pn belah sini bn terang2 ditolak drpd pangkh ph ada dap baik dorg pangkah pn
2022-11-19 19:06:03+00:00,tyra_mohd,kongsi suasana sekitar pusat mengundi di lembah pantai klik untuk lihat gambar gambar lebih banyak pru15 ge15
2022-11-19 19:05:43+00:00,anakbundairma,lagi di pinggir pantai pangandaran dan tengah malem gempa 5 3 mag syp yg gak jantungan
2022-11-19 19:05:42+00:00,Bangsoemar1,apakh aman bmkg saya lagi posisi nginep di pinggir pantai
2022-11-19 19:05:42+00:00,goallymimus,hiling lah jen ke pantai
2022-11-19 19:05:28+00:00,sushisedap_,rasmi parlimen p121 lembah pantai ph menang dengan majoriti 13 912 undi malaysiamemilih pru15 pilihanmalaysia
2022-11-19 19:05:04+00:00,KulineRain,beneran kok pusatnya di pantai pangandaran jawa barat
2022-11-19 19:04:42+00:00,alifidham_52,keputusan rasmi pru15 parlimen ahmad fahmi mohamed fadzil ph menang kerusi p121 lembah pantai majoriti 13 912 un
2022-11-19 19:04:28+00:00,RizqonSagala,pantai memantau supaya momentnya waw untuk tujuan situasi kondisi kondusif
2022-11-19 19:04:00+00:00,GYHCH9799,aku tp ga deket pantai bgt cuma kalo air lautnya lagi pasang sering naik ke permukaan setiap jam 4 5 sore selalu naik lebih ke panik si yaa hehe ya ga gmna mana nder btw disini pernah gempa besar kok dan pernah banjir bandang grgr ujan 2hari air laut naik trs heung
2022-11-19 19:03:59+00:00,MesutHzrl,keputusan rasmi pru15 parlimen ahmad fahmi mohamed fadzil ph menang kerusi p121 lembah pantai majoriti 13 912 un
2022-11-19 19:03:48+00:00,asep_rivaa,stay safe bila mau ke daerah pantai lebih waspada lagi
2022-11-19 19:03:25+00:00,indriemld,ngeri banget pantai selatan dri pulau sumatra jawa gempa mulu
2022-11-19 19:03:14+00:00,rowanromano,bertanding di pantai timur letak mat jargon pun boleh menang bukan sbb kau power bro
2022-11-19 19:03:01+00:00,V3N0MV7,final 00 50hrs p121 lembah pantai ph 35 359 bn 21 447 pn 19 098 gta 810 majoriti 13 912 177 177 saluran
2022-11-19 19:02:54+00:00,mfaizfakhruden,lepas tu pelik kenapa org pantai timur undi pas taknak perubahan ke cuba check balik apa yang ph buat untuk buat atau tarik org pantai timur ni untuk undi ph sibuk 100 salahkan pengundi hahahaha aneh aneh orang kita ni
2022-11-19 19:02:43+00:00,marioskyjuice,bertanding di pantai timur letak mat jargon pun boleh menang bukan sbb kau power bro
