created_at,author,cleaned_tweet
2022-10-28 15:01:43+00:00,nabil_arafat,airbnb yang ada private beach amp swimming pool di semenyih jomkita rare gila ada pantai wehhh tak boleh brain lokasi
2022-10-28 15:01:41+00:00,unicrqon,kalo pas smk studytour ke pantai nah ceritanya gue panik abis dari pantai bingung nyariin tas sampe kemana mana dan akhirnya dibantuin cari tas gue sama temen eh ternyata tas gue ada di gazebo deket bus mana bikin panik kelas sebelah pula wkwk
2022-10-28 15:00:29+00:00,jierahrsli,pantai dah macam dekat bali je
2022-10-28 15:00:18+00:00,SafwanAzlan_,airbnb yang ada private beach amp swimming pool di semenyih jomkita rare gila ada pantai wehhh tak boleh brain lokasi
2022-10-28 14:59:55+00:00,AmiraNajella,ini yang gua blg masjidnya hadap langsung ke pantai
2022-10-28 14:58:47+00:00,DanishIzwan,kalau pantai timur duit kawin belah perempuan perempuan cari sndiri keluarga perempuan duit kawin b
2022-10-28 14:58:34+00:00,sapahaidar,ikut ikuttt pantai dan gunung
2022-10-28 14:58:31+00:00,elenamuzafar,airbnb yang ada private beach amp swimming pool di semenyih jomkita rare gila ada pantai wehhh tak boleh brain lokasi
2022-10-28 14:58:15+00:00,kawandanala,igtv sekala mahameru the nth journey pantai santolo kali ini gue kemari bersama ukm fotografi dan ma
2022-10-28 14:57:35+00:00,amyrazil,sejak pregnant susah tidur malam nak buat macam mana pun tak tahu habis direct 3 hari tidur 3pagi moody gila jadi rasa tak best tunggu husband kerja shift siang nak lari pergi pantai
2022-10-28 14:57:32+00:00,Woddy0wl,airbnb yang ada private beach amp swimming pool di semenyih jomkita rare gila ada pantai wehhh tak boleh brain lokasi
2022-10-28 14:57:28+00:00,SyamimZainal,airbnb yang ada private beach amp swimming pool di semenyih jomkita rare gila ada pantai wehhh tak boleh brain lokasi
2022-10-28 14:57:28+00:00,faasraff,airbnb yang ada private beach amp swimming pool di semenyih jomkita rare gila ada pantai wehhh tak boleh brain lokasi
2022-10-28 14:57:01+00:00,mahendemoire,semoga malem ini mimpi indah main ke pantai
2022-10-28 14:56:50+00:00,mamatcantik7,pantai dah macam dekat bali je
