created_at,author,cleaned_tweet,label
2022-10-15 16:46:44+00:00,segopindangg,solo jogja semarang kudus bandung surabaya lombok pontianak yaallah pingin touring wisata kuliner sejawa,kuliner
2022-10-15 16:43:32+00:00,bernardusfilbe1,kudus kuliner sate kerbau soto kerbau pindang kerbau,kuliner
2022-10-15 16:40:15+00:00,InvesJamurJabon,resto kuliner joeragangroup bandung dibuka kemitraan amp investasi lokasi bdg join skrg,kuliner
2022-10-15 16:39:19+00:00,iniakunagus,cari kuliner nih,kuliner
2022-10-15 16:34:16+00:00,PempekJOERAGAN,usaha kuliner potensial konsep higienis halal amp nikmat,kuliner
2022-10-15 16:32:44+00:00,TVNBTV,kuliner sukses sarimi sarimi siap duda,kuliner
2022-10-15 16:32:26+00:00,escobranyusss,top story momen kulineran ayah lesti kejora sumba turki see more,kuliner
2022-10-15 16:25:48+00:00,impricelesss_,makanan favoritku ayam bakar kecap dilengkapi nasi hangat sambal lalapan pejuangrasanyaindonesia kenalirasanyaindonesia fjb temukan kuliner indonesia sabang merauke daftar skrg di,kuliner
2022-10-15 16:24:36+00:00,rajodurian,nikmati olahan durian khas nusantara anda berinvestasi manajemen hubungi duren nusantara management kuliner rajodurian,kuliner
2022-10-15 16:22:55+00:00,ali_njajali,kuliner terminal sego lodho sri terminal gayatri tulungagung ngebis tok mangan yo kaliren penumpa,kuliner
2022-10-15 16:22:03+00:00,janganpergi18,wingi mbok saranke kuliner ikii,kuliner
2022-10-15 16:21:35+00:00,Chxrlzte,kuliner perkambingan makanan aneh,kuliner
2022-10-15 16:18:43+00:00,bijiketapel,kuliner babi solo special bijiketapel,kuliner
2022-10-15 16:18:26+00:00,boting16,kuliner terminal sego lodho sri terminal gayatri tulungagung ngebis tok mangan yo kaliren penumpa,kuliner
2022-10-15 16:17:56+00:00,JeonMyeo,indonesia sentral produksi halal dunia persaingan industri halal semakin pesat menteri bumn,kuliner
2022-10-15 16:15:02+00:00,dotsemarang,pagelaran pengantin semarangan festival kuliner sam poo kong semarang blog dotsemarang,kuliner
2022-10-15 16:14:10+00:00,glossjam,kira berburu kuliner malam jakaa,kuliner
2022-10-15 16:13:28+00:00,tamadinie,surabaya kaki resto bintang kuliner menarik hidden gem kuliner sby palugada dech sby,kuliner
2022-10-15 16:11:28+00:00,rumusnyakamu,kue abuk khas betawi bercita rasa manis gurih pejuangrasanyaindonesia kenalirasanyaindonesia fjb temukan kuliner indonesia sabang merauke daftar sekarang,kuliner
2022-10-15 16:11:03+00:00,lampungbase,wisata kuliner umkm soekarno sabtu minggu,kuliner
2022-10-15 16:10:50+00:00,quaydepassi,jalanan margonda wisata kuliner malam bagi malam suara motor kedengaran suara ning nung kereta alam bawah sadar pdhl ,kuliner
2022-10-15 16:10:07+00:00,InvesJamurJabon,investasi resto kuliner joeragan diminati prospektif potensial join,kuliner
2022-10-15 16:08:23+00:00,Anebref,rekomendasi kuliner malam jogja mie ayam gudeg,kuliner
2022-10-15 16:04:17+00:00,PempekJOERAGAN,investasi kuliner ala joeragan invest jutaan cek infonya join skrg,kuliner
2022-10-15 16:04:03+00:00,0hmnnn,platinum mall raja kuliner ko ganemuin matcha ya,kuliner
