created_at,author,cleaned_tweet,label
2023-03-12 15:59:51+00:00,chnty_pu,night show sunsets pantai deket rumah hari bintangnya langitnya cerahh ngefoto,pantai
2023-03-12 15:59:46+00:00,wineediar_,aktivitas konstruksi lepas pantai memiliki risiko besar kompleksitas tinggi tugu insurance hadir de,pantai
2023-03-12 15:59:41+00:00,Jiayyo,mood naik perkara thread foto pantai berujung anak anak limit fomo,pantai
2023-03-12 15:59:20+00:00,_qasghinaaa,takut esok pasir pantai kira sebutir sebutir bak kata org patemak sekian reebarseller,pantai
2023-03-12 15:58:21+00:00,mrfirdausjailan,cara nak menang undi majoriti melayu selangor berkhidmat orang melayu selangor suruh melayu pantai timur tukar ic selangor walaun,pantai
2023-03-12 15:58:18+00:00,danarif, selangor menarik parti berjaya menang kerusi bentuk kerajaan negeri kerusi bila,pantai
2023-03-12 15:56:35+00:00,veronikanauli,seru liat bintang jatuh pantai,pantai
2023-03-12 15:56:20+00:00,naykodaa,enak kali minum coca cola dipinggir pantai sembari bersyukur keadaan sekarang berpikir hebat gua udah sampe difase hahahha,pantai
2023-03-12 15:56:08+00:00,mbahgatotns,murah jamsut pantai bali shopee,pantai
2023-03-12 15:56:06+00:00,sj002692,pengundi pantai timur menetap selangor kena tukar tempat undi malu nk buat mcm ni,pantai
2023-03-12 15:55:19+00:00,TAJ00JIJEL,tema pantai game pake otak otak dititipin baru brp jam ingin berharap seru backpack kebapak an tim buah makanan kuah jaemin and eunhyuk oppa,pantai
2023-03-12 15:55:19+00:00,akuberbakat,kita anak magang cara foto kita bentuk gosong anak pantai wkwkw such a lovely moment first time dapet tip langsung k it doesn t about the nominal but the appreciation she gave to us and tell us to always strive our goal in live and,pantai
2023-03-12 15:55:18+00:00,faerywither,pantai god knows long badan sumeng the real cocoknya membusuk kamar,pantai
2023-03-12 15:52:34+00:00,squirelords, selangor menarik parti berjaya menang kerusi bentuk kerajaan negeri kerusi bila,pantai
