tweet,tfidf kata 1,tfidf kata 2,tfidf kata 3,tfidf kata 4,tfidf kata 5,label
mandali salah kata istilah populer setiap kali gunung merapi batuk memuntahkan lava,0.32987870913846895,0.11928978706196965,0.32987870913846895,0.27744075703755383,0.2891615883260834,gunung
gunung semeru jawa timur mengalami aktivitas eksplosif berlanjut gumpalan abu vulkanik naik ketinggian ,0.217817530985214,0.2548798402956423,0.35819465728956573,0.35819465728956573,0.35819465728956573,gunung
gambaran umum temperatur jawa suhu puncak pukul siang nanti wilayah gunung pegunungan memang tempat terbaik bu,0.30613459706535245,0.3003450784640416,0.0942437393444436,0.19540521355718748,0.24602905309664566,gunung
potensi bahaya barat laut gunung merapi bpptkg pertahankan status level,0.3248723535069445,0.2836550518099347,0.3412375415169608,0.11648540032589251,0.2798707060053823,gunung
romo kevas pengurus psi jabar sabtu maret wib korban begal sekitar vila nusa indah cluster gar,0.2750831158912886,0.2750831158912886,0.2750831158912886,0.23139593060545657,0.264317791718312,gunung
salah keinginan pengen banget naik gunung mendaki,0.42289981331366117,0.1409495967474588,0.5390848265642569,0.4042453309605308,0.3094745395538344,gunung
romo kevas pengurus psi jabar sabtu maret wib korban begal sekitar vila nusa indah cluster gar,0.2750831158912886,0.2750831158912886,0.2750831158912886,0.23139593060545657,0.264317791718312,gunung
video erupsi gunung api sinabung sumatera utara penggunaan kata merapi sesuai video diungg,0.23969404337427694,0.37432957563085834,0.20525071414878002,0.10677496511188991,0.2588253300274307,gunung
bencana bot melaporkan letusan gunung api sekitarmu silahkan kirim pesan melalui whatsapp facebook messenger telegram link bio,0.20634638381927758,0.23847832410442124,0.25419094875072273,0.26106352517246684,0.25864641863309534,gunung
awan panas guguran gunung merapi pagi minggu maret zoom luncuran,0.2828565562761084,0.29543064184738044,0.1900424115718404,0.38055713993188994,0.2932564437065033,gunung
video gunung sinabung tahun demen nyebarin biar apasih,0.46118813561396327,0.36179162692566136,0.46118813561396327,0.12058265886241223,0.4386952637564256,gunung
pulau pandan jauh tengah gunung daik bercabang hancur badan dikandung tanah budi baik dikenang til gunung,0.2582435397626391,0.23924006251744534,0.281209731236933,0.281209731236933,0.277974604428525,gunung
awan panas guguran gunung merapi maret pukul wib jarak luncur m mengarah barata daya,0.20828841354215777,0.3653282706091777,0.33622913407930793,0.21754765211121901,0.13994242499857476,gunung
pulau pandan jauh tengah gunung daik bercabang hancur badan dikandung tanah budi baik dikenang til gunung,0.2582435397626391,0.23924006251744534,0.281209731236933,0.281209731236933,0.277974604428525,gunung
awan panas guguran gunung merapi pagi minggu maret zoom luncuran,0.2828565562761084,0.29543064184738044,0.1900424115718404,0.38055713993188994,0.2932564437065033,gunung
awan panas guguran gunung merapi maret pukul wib jarak luncur mengarah barata daya,0.216786132044729,0.38023287692824026,0.3499465583237964,0.22642312759782002,0.14565177442412203,gunung
kawah gunung bromo,0.7460723001224061,0.23410619459597243,0.6233541630901771,,,gunung
sekian banyak video gunung merapi media sosial bapak bapak bergelar insinyur memilih video sinabung cerdas sekali,0.2326268551403334,0.4026889442700082,0.31022153690566523,0.31022153690566523,0.0811107981055714,gunung
gunung merapi meletus dikira pantun,0.5813103836865913,0.21521579900346302,0.47253636646185093,0.2617510356748514,0.5691714815164434,gunung
naik gunung jogja,0.297293983616846,0.6968020392267861,0.6527504924813301,,,gunung
keknya butuh hiburan liat gunung meletus,0.49311031558492063,0.1448993596449713,0.49311031558492063,0.527162557180954,0.33700276464802204,gunung
gunung,1.0,,,,,gunung
muncak gunung mana malaikat jibril pernah sini,0.11963869349203357,0.45757778539150035,0.45757778539150035,0.3366425997136265,0.4194269819425706,gunung
oh katanya muncak gunung slamet biar moveon pas pulang balikan gasi,0.3569658642202866,0.28003162007030624,0.32720363589839907,0.09333261137235932,0.2923840608859884,gunung
per malam energi bumi gunung berapi indonesia mendadak besar secara metafisika biasanya urutan,0.27997977646399025,0.24007535197818886,0.2578194820114887,0.28929878047932756,0.33026053668220345,gunung
 bencana bot melaporkan letusan gunung api sekitarmu silahkan kirim pesan melalui whatsapp facebook messenger telegram link bio,0.20634638381927758,0.23847832410442124,0.25419094875072273,0.26106352517246684,0.25864641863309534,gunung
 mana jogja gunung merapi naik aktivitasnya panas,0.6236761618949198,0.163066922288182,0.38219866610984643,0.4588421274430653,0.19832621950099186,gunung
bpptkg potensi bahaya sisi barat laut gunung merapi,0.40882556282097793,0.35695692462403183,0.42941982738871687,0.14658744837652662,0.35219463172112936,gunung
sebagai anak suka halu kadang ngebayangin seru kali masak bareng ksoo gibah bareng baek naek gunung bareng umin camping bareng loey hobi member exo lainnya,0.13611651451165174,0.20536701522981535,0.5990163413643466,0.18824442562196858,0.20536701522981535,gunung
video erupsi gunung api sinabung sumatera utara penggunaan kata merapi sesuai video,0.2584871642432105,0.22134331880900457,0.11514661589167419,0.2791184321949797,0.1400443002031419,gunung
hari gunung matahari burung sawah masa depan cewe animeku today admin admin wonka job,0.5394540449645985,0.2942612157092772,0.2942612157092772,0.25537543945907015,0.21851280578092688,gunung
awan panas guguran gunung merapi pagi minggu maret zoom luncuran,0.2828565562761084,0.29543064184738044,0.1900424115718404,0.38055713993188994,0.2932564437065033,gunung
mandali salah kata istilah populer setiap kali gunung merapi batuk memuntahkan lava dalam pe,0.30178967277970653,0.26220399104814973,0.109132310773901,0.30178967277970653,0.2538167907252592,gunung
gunung merapi awan panas guguran sabtu pukul wib siang kali awan panas mengarah kali bebeng krasak berada kabupaten magelang radius bahaya sejauh km bornpinkjakarta wasit,0.22215280963064432,0.20813607282010288,0.23783409207583842,0.19871381285154616,0.28542983611674916,gunung
kangen merapi suasana candi prambanan berlatar belakang gunung merapi,0.37677632659504534,0.3894198422258458,0.3840720799556573,0.14522579265980093,0.3681435149054058,gunung
hidup erupsi gunung sinabung sumut ,0.3331821276587108,0.17332709512950337,0.5136614705787412,0.44436490436941817,0.6305863250264991,gunung
 warga merapi video rekaman kejadian awan panas guguran gunung merapi maret pukul wib stasiun c,0.22552434982246297,0.29830349674382506,0.23554979349754265,0.15152270773810708,0.2874698488336654,gunung
awan panas guguran gunung merapi pagi minggu maret zoom luncuran,0.2828565562761084,0.29543064184738044,0.1900424115718404,0.38055713993188994,0.2932564437065033,gunung
kalo bisa tambahkan credit titel videonya alm pak walaupun hanya sekedar mengingatkan bahaya letusan gunung berapi gitu pak ir,0.2720127098837494,0.19835227445949322,0.21935321123875678,0.18937292422006008,0.2720127098837494,gunung
ada obyek asing terdektesi oleh kami dibawah laut peru n pertama berdiamter km n kedua km n bukan gunung,0.17687400637235226,0.2189419917946583,0.25228008148227793,0.18733841058346254,0.23124608877112493,gunung
mana venuenya mendaki gunung hanbin menggeh ,0.13262661183200464,0.48251271789544964,0.37318835650197935,0.3803748987679823,0.48251271789544964,gunung
buang taik kucen duduk rumah tinggi gunung kinabalu,0.3849175612241129,0.3752164312013706,0.13679502881146707,0.3923299744853214,0.3963915627036328,gunung
kenalan naik gunung goal year,0.5407437145508059,0.14863236567759364,0.5058141935546857,0.32634313252620034,0.5684688351163047,gunung
bapak asli dosen masa gunung sinabung dikata dijawa,0.319162297520154,0.2995736679125312,0.4615681905286141,0.43905678279420984,0.42308468482243344,gunung
