created_at,author,cleaned_tweet,label
2023-03-12 16:21:45+00:00,muhzaiim1,mandali salah kata istilah populer setiap kali gunung merapi batuk memuntahkan lava,gunung
2023-03-12 16:21:31+00:00,srintilkebo,gunung semeru jawa timur mengalami aktivitas eksplosif berlanjut gumpalan abu vulkanik naik ketinggian ,gunung
2023-03-12 16:21:21+00:00,miqbalguntur,gambaran umum temperatur jawa suhu puncak pukul siang nanti wilayah gunung pegunungan memang tempat terbaik bu,gunung
2023-03-12 16:21:03+00:00,liputan6dotcom,potensi bahaya barat laut gunung merapi bpptkg pertahankan status level,gunung
2023-03-12 16:20:45+00:00,Wesly_Arfan,romo kevas pengurus psi jabar sabtu maret wib korban begal sekitar vila nusa indah cluster gar,gunung
2023-03-12 16:20:34+00:00,langitbiru1213,salah keinginan pengen banget naik gunung mendaki,gunung
2023-03-12 16:20:25+00:00,Budiciptapesona,romo kevas pengurus psi jabar sabtu maret wib korban begal sekitar vila nusa indah cluster gar,gunung
2023-03-12 16:20:17+00:00,martinapriyanti,video erupsi gunung api sinabung sumatera utara penggunaan kata merapi sesuai video diungg,gunung
2023-03-12 16:19:44+00:00,petabencana,bencana bot melaporkan letusan gunung api sekitarmu silahkan kirim pesan melalui whatsapp facebook messenger telegram link bio,gunung
2023-03-12 16:19:40+00:00,bangsaminID,awan panas guguran gunung merapi pagi minggu maret zoom luncuran,gunung
2023-03-12 16:19:24+00:00,shibhirok_kuro,video gunung sinabung tahun demen nyebarin biar apasih,gunung
2023-03-12 16:19:19+00:00,fahmi_abicik,pulau pandan jauh tengah gunung daik bercabang hancur badan dikandung tanah budi baik dikenang til gunung,gunung
2023-03-12 16:19:19+00:00,kipyiksamgong,awan panas guguran gunung merapi maret pukul wib jarak luncur m mengarah barata daya,gunung
2023-03-12 16:19:08+00:00,faraninasofea,pulau pandan jauh tengah gunung daik bercabang hancur badan dikandung tanah budi baik dikenang til gunung,gunung
2023-03-12 16:19:00+00:00,suhsweetest,awan panas guguran gunung merapi pagi minggu maret zoom luncuran,gunung
2023-03-12 16:18:48+00:00,sylndrbkt,awan panas guguran gunung merapi maret pukul wib jarak luncur mengarah barata daya,gunung
2023-03-12 16:18:44+00:00,gondessanfor,kawah gunung bromo,gunung
2023-03-12 16:18:13+00:00,Anugrh_,sekian banyak video gunung merapi media sosial bapak bapak bergelar insinyur memilih video sinabung cerdas sekali,gunung
2023-03-12 16:17:58+00:00,quinnday_,gunung merapi meletus dikira pantun,gunung
2023-03-12 16:17:55+00:00,Gandhoyy,naik gunung jogja,gunung
2023-03-12 16:17:07+00:00,trazogazi,keknya butuh hiburan liat gunung meletus,gunung
2023-03-12 16:16:59+00:00,dionysuns,gunung,gunung
2023-03-12 16:16:47+00:00,ajazlihuda,muncak gunung mana malaikat jibril pernah sini,gunung
2023-03-12 16:16:46+00:00,squbidubiduuu,oh katanya muncak gunung slamet biar moveon pas pulang balikan gasi,gunung
2023-03-12 16:16:46+00:00,yaneve07,per malam energi bumi gunung berapi indonesia mendadak besar secara metafisika biasanya urutan,gunung
2023-03-12 16:16:44+00:00,petabencana, bencana bot melaporkan letusan gunung api sekitarmu silahkan kirim pesan melalui whatsapp facebook messenger telegram link bio,gunung
2023-03-12 16:16:28+00:00,arcillaptr, mana jogja gunung merapi naik aktivitasnya panas,gunung
2023-03-12 16:16:14+00:00,akunsudi,bpptkg potensi bahaya sisi barat laut gunung merapi,gunung
2023-03-12 16:15:58+00:00,eibiriebon9,sebagai anak suka halu kadang ngebayangin seru kali masak bareng ksoo gibah bareng baek naek gunung bareng umin camping bareng loey hobi member exo lainnya,gunung
2023-03-12 16:15:16+00:00,vwexcellent,video erupsi gunung api sinabung sumatera utara penggunaan kata merapi sesuai video,gunung
2023-03-12 16:14:36+00:00,chocoJACKSONN,hari gunung matahari burung sawah masa depan cewe animeku today admin admin wonka job,gunung
2023-03-12 16:13:52+00:00,StepOur27,awan panas guguran gunung merapi pagi minggu maret zoom luncuran,gunung
2023-03-12 16:13:39+00:00,michinfree,mandali salah kata istilah populer setiap kali gunung merapi batuk memuntahkan lava dalam pe,gunung
2023-03-12 16:13:36+00:00,ganjarbaik2,gunung merapi awan panas guguran sabtu pukul wib siang kali awan panas mengarah kali bebeng krasak berada kabupaten magelang radius bahaya sejauh km bornpinkjakarta wasit,gunung
2023-03-12 16:13:36+00:00,Oktavia38889747,kangen merapi suasana candi prambanan berlatar belakang gunung merapi,gunung
2023-03-12 16:13:22+00:00,dyahNeZza,hidup erupsi gunung sinabung sumut ,gunung
2023-03-12 16:13:21+00:00,taufik_topx, warga merapi video rekaman kejadian awan panas guguran gunung merapi maret pukul wib stasiun c,gunung
2023-03-12 16:13:08+00:00,fajaranangfs,awan panas guguran gunung merapi pagi minggu maret zoom luncuran,gunung
2023-03-12 16:12:43+00:00,BangBond_,kalo bisa tambahkan credit titel videonya alm pak walaupun hanya sekedar mengingatkan bahaya letusan gunung berapi gitu pak ir,gunung
2023-03-12 16:11:17+00:00,DambaanA,ada obyek asing terdektesi oleh kami dibawah laut peru n pertama berdiamter km n kedua km n bukan gunung,gunung
2023-03-12 16:11:04+00:00,Mra_myname,mana venuenya mendaki gunung hanbin menggeh ,gunung
2023-03-12 16:10:32+00:00,nialhyekal,buang taik kucen duduk rumah tinggi gunung kinabalu,gunung
2023-03-12 16:10:30+00:00,raditya_ardho,kenalan naik gunung goal year,gunung
2023-03-12 16:09:42+00:00,RendiePutra1,bapak asli dosen masa gunung sinabung dikata dijawa,gunung
2023-03-12 16:09:37+00:00,metal_roof5,mandali salah kata istilah populer setiap kali gunung merapi batuk memuntahkan lava dalam pe,gunung
2023-03-12 16:09:29+00:00,renety9,romo kevas pengurus psi jabar sabtu maret wib korban begal sekitar vila nusa indah cluster gar,gunung
2023-03-12 16:09:28+00:00,ElmaSyakur,aktivitas penambangan pasir lereng gunung merapi berlangsung meski erupsi,gunung
2023-03-12 16:09:19+00:00,Farhanoconn,generasi muda diajarkan menyadarkan orang orang tua menyebalkan bapak ir benny dwika lonanda st m,gunung
2023-03-12 16:09:04+00:00,biasaaa_ae,kangen merapi gak suasana candi prambanan berlatar belakang gunung merapi,gunung
2023-03-12 16:08:41+00:00,gorgtxt,mereka menyebutnya sebagai gunung api kiamat gunung merapi meletus pulau jawa,gunung
2023-03-12 16:08:33+00:00,Sikmochii, warga merapi video rekaman kejadian awan panas guguran gunung merapi maret pukul wib stasiun c,gunung
2023-03-12 16:07:53+00:00,imranlawehh,setelah sekian suku hari hilang recovery diri semula nk story pasal pengalaman amp member guide gogo ranger potte,gunung
2023-03-12 16:07:52+00:00,sjhwan5,kembang dingin dikelilingin gunung,gunung
2023-03-12 16:07:15+00:00,HornetRanger,saran kami pak mohon konten video bapak hapus saja bagaimanapun narasi bapak tulis menyeb,gunung
2023-03-12 16:07:02+00:00,PerempuanLibra, warga merapi video rekaman kejadian awan panas guguran gunung merapi maret pukul wib stasiun c,gunung
2023-03-12 16:06:55+00:00,Boboboys_,luncuran lava pijar material vulkanik gunung merapi mengarah barat daya laporan via radio komunikasi arah angin k,gunung
2023-03-12 16:06:35+00:00,JehwaTeenager,tak gunung tak dapat diratakan tak masalah tak dapat diselesaikan,gunung
2023-03-12 16:06:26+00:00,tbho_reta,gunung mana yak merapi yak,gunung
2023-03-12 16:06:19+00:00,lilpeeeeeeeed17,terjadi awan panas guguran merapi tanggal maret pukul wib arah kali bebeng krasak erupsi m,gunung
2023-03-12 16:06:16+00:00,Wawanzee07,kondisi jalanan sekitar ketep jl magelang selo boyolali imbas erupsi gunung merapi pakai masker kelua,gunung
2023-03-12 16:06:15+00:00,Jateng_Twit,sementara ketahanan kewaspadaan masyarakat sekitar gunung merapi bagus proses pemantauan dapat dilakukan baik,gunung
2023-03-12 16:06:14+00:00,Jateng_Twit,ganjar mengatakan status gunung merapi minggu sore tingkat siaga meski demikian pemantauan dilakukan mengantisipasi adanya peningkatan aktivitas erupsi,gunung
2023-03-12 16:06:11+00:00,dvastka,udah anak gunung sekarang,gunung
2023-03-12 16:06:11+00:00,republikaonline,aktivitas gunung merapi kembali tercatat mengeluarkan guguran awan panas pagi,gunung
2023-03-12 16:06:09+00:00,Jateng_Twit,peserta acara terdiri atas tokoh agama penyuluh agama kepala kantor wilayah kemenag se jawa tengah jajaran kanwil kemenag jawa tengah se menunduk mereka tampak khusyuk memanjatkan doa keselamatan warga sekitar gunung merapi,gunung
2023-03-12 16:05:50+00:00,wawandria,naik gunung bayar parkir bayar tempat sampah ndak kesadaran buang sampah ndak trus bayar gunanya ndak gunung ndak pantai sama kebersihan milik bersama mungkin sudah merasa bayar buang sampah seenaknya,gunung
2023-03-12 16:05:41+00:00,AdendiarS,tahukah menggapai puncak rajawali melalui jalur kaliangkrik perlu turun kawah naik bibir,gunung
2023-03-12 16:05:36+00:00,riiianaryan, warga merapi video rekaman kejadian awan panas guguran gunung merapi maret pukul wib stasiun c,gunung
2023-03-12 16:05:33+00:00,info_sleman,mengapa status gunung merapi dinaikkan awas penjelasan bpptkg,gunung
2023-03-12 16:05:18+00:00,PANTONE_7453C,generasi muda diajarkan menyadarkan orang orang tua menyebalkan bapak ir benny dwika lonanda st m,gunung
2023-03-12 16:05:15+00:00,narinsarun,beginiah kondisi terkini salah desa terdampak erupsi gunung merapi parah desa jombong kec,gunung
2023-03-12 16:05:00+00:00,nsvtry,selamat pagi warga merapi disampaikan laporan aktivitas gunung merapi periode maret pukul w,gunung
2023-03-12 16:04:58+00:00,pcndu_KopiPahit,video gunung sinabung abu merapi setinggi,gunung
